Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0
0;0.0;1616.2518518518518;455.84907407407405
1;0.03;1633.2368647717483;472.37553832902665
2;0.07;1648.2984206151286;491.54613466334166
3;0.1;1663.9295659295658;508.4725634725634
4;0.13;1677.9957805907172;523.9331926863572
5;0.17;1690.82250174703;539.6883298392733
6;0.2;1702.265993265993;553.9670033670033
7;0.23;1712.3698539176626;566.6885790172641
8;0.27;1722.229074889868;579.2488986784141
9;0.3;1720.3333333333333;569.6666666666666
10;0.33;1723.6666666666665;592.3333333333333
11;0.37;1759.6467991169977;629.5430463576159
12;0.4;1775.5418381344305;648.2866941015088
13;0.43;1792.598124098124;667.4025974025974
14;0.47;1807.638888888889;687.6145833333334
15;0.5;1823.7155287817936;705.7443105756358
16;0.53;1837.2673015873015;722.6825396825396
17;0.57;1848.828;738.0026666666666
18;0.6;1859.5234521575985;752.4196372732957
19;0.63;1868.8410153640614;765.3012692050768
20;0.67;1874.2367724867722;780.6494708994709
21;0.7;1884.7508417508416;802.3367003367002
22;0.73;1898.565245478036;822.7002583979328
23;0.77;1908.9038817005546;843.1028958718422
24;0.8;1904.3333333333333;836.6666666666666
25;0.83;1929.28245270711;879.3783431180691
26;0.87;1937.5157612340709;895.241448692153
27;0.9;1944.942115768463;910.9846972721224
28;0.93;1951.2879066912215;924.9484346224677
29;0.97;1955.842332613391;939.394528437725
30;1.0;1952.929018789144;954.5421016005566
31;1.03;1953.213300892133;981.5433901054339
32;1.07;1952.1963470319633;1004.2889758643182
33;1.1;1950.2209072978303;1022.8481262327416
34;1.13;1948.3556457065583;1042.0324543610548
35;1.17;1946.7241379310344;1057.1125226860254
36;1.2;1944.5124923826934;1074.6398537477148
37;1.23;1943.0958005249342;1087.5026246719158
38;1.27;1940.5821256038646;1102.135265700483
39;1.3;1938.7674825174824;1113.0093240093238
40;1.33;1936.7596764875793;1124.7227036395147
41;1.37;1934.8661616161614;1135.6477272727273
42;1.4;1933.6623456790123;1144.085185185185
43;1.43;1937.151515151515;1139.030303030303
44;1.47;1928.8834048640915;1193.6008583690987
45;1.5;1929.3333333333333;1190.3333333333333
46;1.53;1921.6363061353572;1239.7476280834915
47;1.57;1917.3346855983773;1258.8762677484788
48;1.6;1911.7034764826176;1280.4669393319698
49;1.63;1907.8047619047618;1295.7231292517006
50;1.67;1903.2555331991953;1311.3615023474179
51;1.7;1899.0805555555555;1325.8590277777776
52;1.73;1894.5082644628098;1340.1322314049587
53;1.77;1890.9190093708164;1350.5823293172691
54;1.8;1882.2647702407003;1364.1013858497445
55;1.83;1872.3437250199838;1374.8177458033574
56;1.87;1854.1929824561403;1404.659038901602
57;1.9;1840.9505915100904;1423.473208072373
58;1.93;1828.0440499671267;1440.6074950690336
59;1.97;1816.6692913385828;1455.9442257217847
60;2.0;1803.6001602564102;1473.710737179487
61;2.03;1814.5;1462.5
62;2.07;1784.489283074649;1497.662232076866
63;2.1;1774.835488505747;1509.0545977011493
64;2.13;1766.0433839479392;1519.294287780188
65;2.17;1760.1368209255534;1525.9979879275654
66;2.2;1758.6666666666665;1518.6666666666665
67;2.23;1735.6029526029524;1564.004662004662
68;2.27;1728.6984126984125;1570.3174603174602
69;2.3;1698.5446950710107;1611.2773600668336
70;2.33;1682.4849187935035;1631.0788863109049
71;2.37;1669.5875576036867;1647.6612903225807
72;2.4;1654.2022279348757;1667.6152527849183
73;2.43;1660.952380952381;1662.190476190476
74;2.47;1644.5576923076924;1676.6153846153845
75;2.5;1633.222222222222;1686.5555555555554
76;2.53;1600.0;1735.0
77;2.57;1584.3199665831244;1759.8053467000834
78;2.6;1583.0;1764.0
79;2.63;1555.5436507936508;1794.164021164021
80;2.67;1539.7450495049504;1809.3877887788778
81;2.7;1523.3716312056736;1814.5595744680852
82;2.73;1498.585648148148;1827.0416666666667
83;2.77;1477.2124898621248;1836.1143552311435
84;2.8;1459.912429378531;1843.0670903954801
85;2.83;1443.275956284153;1850.025956284153
86;2.87;1426.9442148760331;1856.8787878787878
87;2.9;1412.2544951590594;1862.942600276625
88;2.93;1423.222222222222;1858.5555555555554
89;2.97;1411.7333333333331;1862.9333333333332
90;3.0;1381.0;1872.0
91;3.03;1364.3067257945304;1881.830746489283
92;3.07;1348.73665791776;1892.9317585301837
93;3.1;1360.3333333333333;1890.3333333333333
94;3.13;1336.5;1894.5833333333333
95;3.17;1289.2349610757253;1913.8188251946212
96;3.2;1271.1560574948664;1920.4674880219027
97;3.23;1257.1959287531806;1925.4236641221373
98;3.27;1242.940203562341;1929.8778625954199
99;3.3;1230.3730994152047;1933.8
100;3.33;1215.8188235294117;1937.5819607843137
101;3.37;1202.0229629629628;1937.9629629629628
102;3.4;1206.0;1936.5
103;3.43;1159.8043209876541;1948.424074074074
104;3.47;1139.4632996632995;1952.1461279461278
105;3.5;1122.5224541429473;1956.0683111954459
106;3.53;1105.4526051475202;1959.5160075329568
107;3.57;1090.1640926640928;1962.2432432432433
108;3.6;1073.5446489434219;1965.023858214042
109;3.63;1063.4785591766724;1966.2029731275013
110;3.67;1049.3515981735159;1964.944634703196
111;3.7;1028.6954385964912;1965.2603508771929
112;3.73;1043.5;1963.5
113;3.77;994.1589648798521;1968.2304374614907
114;3.8;980.121546961326;1968.564149785144
115;3.83;967.4311342592591;1968.90625
116;3.87;954.3561470215462;1968.6653992395438
117;3.9;943.7653429602888;1968.4031287605294
118;3.93;930.6832694763729;1963.6934865900382
119;3.97;908.7893700787401;1962.4685039370079
120;4.0;889.3077469793888;1962.461265103056
121;4.03;874.6930632289748;1961.5052179251072
122;4.07;859.9183548189072;1959.6206261510129
123;4.1;847.0059952038368;1957.9472422062347
124;4.13;835.2015931372548;1955.9117647058824
125;4.17;824.2041984732824;1952.8791348600507
126;4.2;807.4338507021433;1944.8063562453806
127;4.23;784.41046277666;1942.966465459423
128;4.27;792.6666666666666;1944.3333333333333
129;4.3;740.269635126778;1932.6444032158317
130;4.33;720.4928385416666;1924.2734375
131;4.37;698.0323624595469;1918.1430420711974
132;4.4;677.863664790494;1911.9618511569731
133;4.43;661.1055753262159;1905.4952550415182
134;4.47;646.6629452418925;1899.982456140351
135;4.5;633.2699619771863;1886.7921419518377
136;4.53;610.6764912280702;1876.0442105263157
137;4.57;588.4888888888888;1863.6486486486488
138;4.6;564.6472114137483;1851.4357976653696
139;4.63;572.3333333333333;1856.6666666666665
140;4.67;527.8600550964187;1831.3724517906335
141;4.7;514.1432212028542;1821.9765545361872
142;4.73;501.4761146496815;1812.2234607218682
143;4.77;492.0313441832429;1798.0837854128993
144;4.8;499.8666666666666;1798.8666666666663
145;4.83;460.1994590939824;1763.1994590939823
146;4.87;443.98392732354995;1743.385045422781
147;4.9;429.76421188630485;1727.5549095607234
148;4.93;417.1854043392505;1711.661406969099
149;4.97;406.5282051282051;1697.6450142450142
150;5.0;396.05275779376495;1683.5305755395684
151;5.03;386.8892966360856;1670.7223241590214
152;5.07;377.9829512051734;1658.4221046443267
153;5.1;370.9424703891709;1648.0524534686972
154;5.13;364.1421487603306;1637.7393939393937
155;5.17;357.7059168131224;1627.820152314001
156;5.2;352.091439688716;1615.7399481193254
157;5.23;350.2802588996763;1601.8530744336567
158;5.27;341.1166359729895;1581.1866175567832
159;5.3;333.0118601747815;1560.2446941323344
160;5.33;327.088251826869;1542.0910623946038
161;5.37;320.0619621342513;1525.8967297762479
162;5.4;313.5282902829028;1509.129151291513
163;5.43;310.8751608751608;1491.2052767052764
164;5.47;302.74517133956385;1469.7258566978192
165;5.5;299.6;1474.0666666666666
166;5.53;290.3529741863075;1424.7340067340067
167;5.57;283.48645465253236;1401.236160188457
168;5.6;278.04355716878405;1377.450695704779
169;5.63;270.8082497212932;1356.6348940914158
170;5.67;265.159078133783;1335.4154019111859
171;5.7;260.95907377490573;1317.1787829833063
172;5.73;257.1293785310734;1300.1463276836157
173;5.77;254.02475247524754;1285.5352035203518
174;5.8;251.0971769815418;1271.0184581976112
175;5.83;248.534833869239;1257.3740621650588
176;5.87;244.24684684684684;1242.3555555555554
177;5.9;235.33333333333331;1225.138181818182
178;5.93;231.15870307167236;1202.7326507394766
179;5.97;222.89658965896587;1179.4213421342133
180;6.0;216.94262295081967;1157.043169398907
181;6.03;212.26978818283166;1136.6443701226308
182;6.07;207.40365448504983;1117.5553709856033
183;6.1;202.95285635052687;1099.8219633943427
184;6.13;198.84793388429753;1082.0826446280992
185;6.17;195.85666666666665;1067.3888888888887
186;6.2;191.7457107843137;1052.5998774509803
187;6.23;189.33333333333331;1056.3333333333333
188;6.27;186.1445937300064;1008.5374280230326
189;6.3;183.1853167554766;985.2261693309649
190;6.33;181.4532110091743;961.9082568807339
191;6.37;180.6804556354916;942.0191846522781
192;6.4;180.15226337448559;923.4620811287477
193;6.43;179.66131907308377;906.2715389185977
194;6.47;179.17571511967307;890.077057793345
195;6.5;178.86689615605277;876.3184165232358
196;6.53;178.68466898954705;862.5963995354239
197;6.57;179.09416195856875;850.015065913371
198;6.6;182.53333333333333;857.2666666666667
199;6.63;177.83407738095235;812.1934523809523
200;6.67;179.02691511387164;786.7087646652864
201;6.7;181.02702702702703;759.6951951951951
202;6.73;183.51771511207517;735.3369486623283
203;6.77;186.21467764060355;711.9993141289436
204;6.8;191.4148148148148;688.4565656565657
205;6.83;190.66666666666666;696.3333333333333
206;6.87;199.37810042347246;643.9437386569873
207;6.9;198.0;651.0
208;6.93;207.9636048526863;606.8214904679376
209;6.97;213.5034965034965;587.1282051282051
210;7.0;225.39441195581546;575.4346978557505
211;7.03;228.25;577.0
212;7.07;251.76990049751242;529.9894278606965
213;7.1;262.91695501730106;512.3592848904267
214;7.13;273.00171821305844;496.09564719358525
215;7.17;282.2286212914485;481.26701570680626
216;7.2;291.590882178804;466.54470100651264
217;7.23;299.5269016697588;454.2535559678417
218;7.27;310.7374301675978;445.5301055245189
219;7.3;325.77798624140087;427.69105691056905
220;7.33;339.660606060606;409.14060606060605
221;7.37;332.8666666666667;417.1333333333333
222;7.4;348.3333333333333;403.66666666666663
