Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1
0;0.0;740.5421363392377;1829.4363929146539;1902.2958435207825;1334.047269763651
1;0.03;744.1965952773202;1843.5958264689727;1908.0704809286897;1311.318407960199
2;0.07;751.4658564814814;1857.078125;1912.757421543681;1291.2858354537743
3;0.1;759.3427935447969;1868.3489148580968;1916.2250639386189;1272.3205456095482
4;0.13;766.2749311294765;1878.611570247934;1913.2853535353536;1242.479797979798
5;0.17;772.8278068644561;1888.2239674229202;1915.5927672955972;1204.367924528302
6;0.2;779.177542621987;1897.6590241034683;1921.8606213266162;1165.0310663308144
7;0.23;784.7495462794918;1906.0532365396248;1924.66576819407;1125.0575022461815
8;0.27;790.8849721706864;1913.4440321583177;1927.912808641975;1084.2592592592594
9;0.3;800.1469411092052;1918.9565465980559;1929.782387190684;1046.419213973799
10;0.33;813.2033713974986;1927.0924415443174;1931.194982078853;1015.3856630824372
11;0.37;826.1078732106338;1931.8353783231082;1931.4654919236416;987.2775330396476
12;0.4;837.2976699952449;1932.0332857822157;1930.8877118644068;963.3156779661017
13;0.43;853.0287698412698;1930.687996031746;1929.3903703703702;940.6888888888889
14;0.47;866.5018315018314;1930.5302197802198;1927.628804751299;920.7268002969562
15;0.5;879.6386250565355;1930.7575757575758;1925.3222748815165;901.5039494470773
16;0.53;891.011574074074;1931.173148148148;1922.814901960784;885.1043137254901
17;0.57;901.0440508628518;1931.4891008174386;1920.0770440251572;869.4622641509434
18;0.6;911.1157407407406;1931.7208333333333;1917.234718826406;855.5378973105135
19;0.63;919.5153177869227;1932.0086877000456;1914.1687552213866;841.5296574770258
20;0.67;927.9745042492918;1932.1798866855524;1915.289782244556;824.0820770519261
21;0.7;936.2708962739173;1932.9859013091639;1906.1319073083778;791.5695187165776
22;0.73;950.9932816537467;1938.2428940568473;1900.3538587848932;761.4334975369458
23;0.77;966.7483189241113;1941.2982708933719;1892.396147403685;731.0402010050251
24;0.8;980.7111770524232;1943.1246290801187;1885.9554995801846;704.5197313182199
25;0.83;994.526570048309;1945.749758454106;1880.3084935897434;682.0504807692307
26;0.87;1008.2351738241308;1948.7638036809815;1870.1793525809271;663.7375328083989
27;0.9;1021.4272997032641;1951.1839762611276;1845.4135166093927;644.0641466208476
