Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1
0;0.0;585.6943620178041;506.8684470820969;844.4729493891797;333.83420593368237
1;0.03;570.6907407407407;517.5333333333333;828.7173913043479;339.6497584541063
2;0.07;556.7070422535211;526.9201877934272;812.1384335154826;341.90346083788705
3;0.1;543.9863147605082;535.236559139785;793.7825059101655;346.88888888888886
4;0.13;532.6368159203979;542.118407960199;777.3968253968254;353.9183673469388
5;0.17;521.4629629629629;548.8621399176955;761.882235528942;357.5888223552894
6;0.2;511.38518518518515;554.6402116402116;744.5137844611528;365.98746867167915
7;0.23;501.2909090909091;560.5040404040403;728.5750487329434;371.90058479532166
8;0.27;493.5111788617886;565.0589430894308;712.6923076923077;376.9594017094017
9;0.3;485.3529962546816;569.8408239700374;697.175983436853;385.639751552795
10;0.33;478.0686868686868;573.9919191919191;681.7231329690346;391.2295081967213
11;0.37;470.3898734177215;576.0067510548523;667.7478632478632;396.3119658119658
12;0.4;454.73971193415633;580.0174897119341;654.1051454138702;406.82997762863533
13;0.43;435.3323232323232;591.6080808080808;639.872072072072;414.0342342342342
14;0.47;416.4634634634634;600.5465465465466;624.8915662650602;422.02811244979915
15;0.5;400.2020774315391;607.6685552407932;611.1896551724138;431.45210727969345
16;0.53;384.943469785575;614.0623781676412;599.6067864271457;438.8403193612774
17;0.57;370.9111111111111;619.840404040404;589.7440476190476;445.3809523809524
18;0.6;357.3101265822785;625.5168776371307;579.6796536796536;452.4372294372294
19;0.63;345.841997961264;630.1916411824668;571.7750511247443;458.07361963190186
20;0.67;334.1614583333333;635.05;564.0135135135135;463.86261261261257
21;0.7;324.45997973657546;638.8895643363728;555.8333333333334;467.04980842911874
22;0.73;314.9598393574297;642.6817269076305;544.8565656565656;469.3878787878788
23;0.77;306.0783625730994;648.7672514619883;528.9074074074074;479.03240740740733
24;0.8;298.1952861952862;661.1638608305275;513.4217311233886;485.13996316758744
25;0.83;284.0564430244941;676.3951011714589;496.0821917808219;491.02054794520546
26;0.87;274.2228976697062;692.7862208713273;479.6714285714286;499.55476190476185
27;0.9;262.3368298368298;711.0769230769231;464.2632696390658;504.50955414012736
28;0.93;250.4756690997567;727.4476885644768;448.9879518072289;509.48594377510034
29;0.97;239.9572953736655;743.2455516014235;436.22774327122147;514.4989648033126
30;1.0;230.89845474613685;756.9470198675497;424.36;518.8244444444443
31;1.03;223.0739583333333;769.1541666666666;413.8609406952965;522.4907975460122
32;1.07;215.86952089704383;780.6666666666666;403.26016260162595;526.1117886178862
33;1.1;209.44444444444443;790.7324263038548;395.11954022988505;528.7103448275863
34;1.13;205.6082251082251;797.2305194805194;387.24;531.6022222222222
35;1.17;204.2;794.2444444444444;378.66666666666663;533.3732394366198
36;1.2;190.47884416924663;838.9618163054695;370.4043392504931;533.7159763313609
37;1.23;182.4574780058651;859.8875855327467;371.60606060606057;531.8787878787879
38;1.27;175.8522622345337;876.4173591874422;368.0;536.5
39;1.3;168.40462962962962;893.6148148148147;330.35087719298247;557.140350877193
40;1.33;160.27427427427426;910.4114114114114;315.1064425770308;569.8011204481792
41;1.37;154.51742627345845;922.7113494191242;301.8053333333333;576.9973333333332
42;1.4;147.30506822612085;937.3118908382065;305.5333333333333;572.1333333333333
43;1.43;141.5583566760037;948.7628384687208;274.30833333333334;596.7166666666667
44;1.47;136.05308964316797;960.3568320278503;257.8186666666667;606.3226666666666
45;1.5;131.7344827586207;969.7264367816091;259.0;600.5
46;1.53;131.06467661691542;981.3432835820895;248.33333333333331;613.3333333333333
47;1.57;125.5524861878453;1002.1556169429097;220.2017543859649;638.4269005847952
48;1.6;120.86818181818182;1029.0863636363636;206.23015873015873;649.9444444444445
49;1.63;118.11933174224343;1049.684168655529;196.89071038251365;657.707650273224
50;1.67;114.65627705627705;1071.2095238095237;189.30099502487562;664.2835820895523
51;1.7;111.80438184663537;1090.266040688576;180.8709677419355;672.5204301075269
52;1.73;109.5911214953271;1106.1495327102805;177.99588477366254;685.9135802469136
53;1.77;107.74882629107981;1121.3646322378715;174.55485232067508;694.6413502109705
54;1.8;106.24016064257027;1135.681124497992;166.33966244725738;714.4683544303797
55;1.83;104.64953604568164;1148.2198429693076;164.41215106732346;726.3546798029556
56;1.87;103.49498997995993;1160.5263861055444;157.67792792792793;747.2837837837837
