Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1
0;0.0;1327.2942176870747;212.27125850340136;1544.3187403993854;289.4132104454685
1;0.03;1315.0266159695818;217.96155471060413;1537.9077705156135;285.4059549745824
2;0.07;1301.2218013468014;223.93013468013467;1529.5260631001372;281.68930041152265
3;0.1;1286.818570817287;230.5147625160462;1521.7256057629338;278.11722331368696
4;0.13;1275.3119227539883;235.68261964735515;1513.9638888888887;272.9319444444444
5;0.17;1264.533013205282;240.18087234893957;1507.296918767507;268.3788515406162
6;0.2;1254.8562010712815;244.43881334981458;1500.8900862068965;263.7801724137931
7;0.23;1245.3415536374846;248.29675297986023;1495.1533333333334;260.15037037037035
8;0.27;1237.0044176706826;251.72489959839356;1490.1651305683563;258.457757296467
9;0.3;1228.461001642036;255.28571428571428;1483.3572984749455;258.07116920842407
10;0.33;1221.039263803681;258.2327198364008;1477.1986254295532;257.2034364261168
11;0.37;1213.6251008878126;261.16464891041164;1468.165932452276;254.90088105726872
12;0.4;1206.5243540872511;264.0177890724269;1460.37610976594;252.02986279257465
13;0.43;1200.0374149659863;266.5863095238095;1453.078774617068;250.33989788475563
14;0.47;1193.863579474343;268.98247809762205;1444.3991323210412;249.69197396963125
15;0.5;1187.488198757764;271.42194616977224;1435.453961456103;248.17344753747324
16;0.53;1181.6068481848183;273.67285478547853;1425.2613960113958;245.32905982905982
17;0.57;1172.5761494252874;274.86398467432946;1416.714184397163;243.05602836879433
18;0.6;1161.68876351669;270.79736718382696;1408.161865569273;241.58093278463647
19;0.63;1145.8051550895586;267.67802533857576;1400.8997113997114;239.96031746031744
20;0.67;1131.1847206385405;266.4690231851007;1396.0103703703703;238.317037037037
21;0.7;1117.3860215053764;264.9132616487455;1390.5251238499645;236.12031139419673
22;0.73;1103.2970620239391;262.9125861443598;1385.402985074627;234.19047619047618
23;0.77;1091.1126811594202;261.2460144927536;1378.2503607503606;233.72150072150072
24;0.8;1079.2017075773747;259.9391675560299;1369.3064133016628;233.43626286619158
25;0.83;1068.9580220562077;258.49413020277484;1359.4212193190813;229.778305621536
26;0.87;1057.9622507122506;257.13283475783476;1350.5205371248023;226.12559241706163
27;0.9;1049.180412371134;256.0975945017182;1341.2967200610221;224.59725400457666
28;0.93;1040.4690831556504;254.84328358208955;1330.7384370015948;221.70972886762357
29;0.97;1032.9989550679206;253.7342389411355;1322.340978593272;217.61085626911313
30;1.0;1024.892539356605;252.88535249828882;1313.7435897435898;214.28127428127425
31;1.03;1019.5651900722587;252.22651586553565;1306.5987394957983;212.03501400560222
32;1.07;1011.3216941480763;251.11348205625606;1298.0367816091955;208.7501915708812
33;1.1;1007.0222022202219;250.55895589558955;1293.3756166314306;203.82241014799155
34;1.13;1000.9063336306868;249.71543264942017;1286.7575757575755;199.00330578512396
35;1.17;995.5371997656707;249.0805506736965;1290.5;200.0
36;1.2;988.855534105534;248.05341055341054;1262.1941015089162;183.0781893004115
37;1.23;985.1114350502105;247.21963070942664;1257.2201058201058;177.96455026455024
38;1.27;975.6170991350631;243.53992015968063;1246.5960144927535;167.53925120772945
39;1.3;959.4361861861861;235.3701201201201;1237.7893772893774;159.50732600732601
40;1.33;942.7587185725871;230.2862935928629;1230.0642895732037;148.17341977309562
41;1.37;930.5824011931394;227.73639075316925;1224.5687903970452;140.53693444136655
42;1.4;917.7903225806451;225.40821812596005;1219.235250737463;133.9443215339233
43;1.43;903.5615474794841;222.715904650254;1212.5347943098807;125.86197616301422
44;1.47;890.5610269360268;220.42550505050505;1207.173839662447;118.80295358649788
45;1.5;882.954312865497;219.2434210526316;1203.6756858323938;116.27658774896655
46;1.53;873.8270541801219;217.7334050950843;1196.2073459715639;113.33728278041073
47;1.57;864.7176511954992;216.45569620253164;1186.0161593385944;110.06463735437805
48;1.6;853.4020659515295;214.58680969408024;1175.6261310170103;105.90047050307636
49;1.63;849.1324657991324;213.96529863196528;1167.5452586206898;102.08441091954022
50;1.67;839.2156659765354;212.651828847481;1156.6663023679416;98.74535519125683
51;1.7;831.1899086213746;211.28645212554628;1146.4263085399448;95.53787878787878
52;1.73;823.3622641509434;210.15136268343812;1133.1215199398043;91.17832957110609
53;1.77;820.448275862069;209.80237300704485;1126.955362877328;90.0218368657675
54;1.8;811.8631452581033;208.82232893157263;1113.8224831020989;88.92244752757026
55;1.83;809.8966630785791;208.4890563329745;1105.4232283464567;88.68241469816273
