Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1
0;0.0;206.8181818181818;1587.6363636363637;196.84615384615384;1554.323076923077
1;0.03;208.2820512820513;1588.7179487179487;194.98437500000003;1553.671875
2;0.07;210.92000000000002;1588.7;191.50980392156865;1551.686274509804
3;0.1;213.6086956521739;1587.0869565217392;183.0;1548.089552238806
4;0.13;215.72437888198758;1588.5763457556934;171.92510671323242;1546.1257275902212
5;0.17;220.70358732652525;1592.7999476302696;173.42392444910809;1549.8044770898914
6;0.2;227.43222122031858;1598.4752028854823;175.13811563169165;1554.7041399000711
7;0.23;229.4499105545617;1595.7799642218247;177.72006802721089;1560.501700680272
8;0.27;229.32003469210755;1589.693263949118;182.95983935742973;1566.763721552878
9;0.3;228.362950058072;1585.4352497096397;188.00969193492557;1576.5379023883697
10;0.33;246.72413793103445;1583.2413793103449;195.9634146341463;1579.2926829268292
11;0.37;244.60000000000002;1580.75;198.6976744186047;1582.8720930232557
12;0.4;239.96000000000004;1577.68;197.6379310344828;1591.5172413793102
13;0.43;233.00000000000003;1578.076923076923;199.5671641791045;1597.4925373134329
14;0.47;214.4418604651163;1575.2790697674418;204.5;1610.25
15;0.5;212.3980582524272;1574.9029126213593;208.3448275862069;1616.9827586206898
16;0.53;204.68462401795733;1569.0089786756453;210.43510466988727;1617.1755233494362
17;0.57;201.41499442586397;1567.088071348941;215.43148502230719;1622.5344168260037
18;0.6;198.99045212019095;1565.5035102499296;220.6783398184176;1629.284046692607
19;0.63;195.65793181177796;1562.4925331079176;224.73300970873785;1635.6317152103559
20;0.67;193.3064949006978;1558.2203435319377;227.6945254292193;1640.9365079365077
21;0.7;191.02083333333334;1554.2034465020574;229.81015873015872;1643.8307936507936
22;0.73;187.07718472004186;1547.8526949241234;232.1231259968102;1645.7897926634769
23;0.77;183.64472980203317;1542.796682718031;234.01864352298296;1647.3359048537448
24;0.8;181.0375777237091;1539.094890510949;236.36245647356756;1649.3880974992085
25;0.83;177.90918977705275;1534.6582381729202;238.62439613526567;1648.903381642512
26;0.87;175.83333333333334;1531.1996779388085;237.97743682310468;1647.1257521058965
27;0.9;172.1168794326241;1525.8156028368794;235.7689326177698;1645.804114490161
28;0.93;168.97929078014184;1522.4272340425532;233.2519804996953;1644.7574649603898
29;0.97;166.37055695493981;1519.579065211307;230.28354584092287;1640.6026108075287
30;1.0;163.6523448469531;1516.4841336703173;223.78209993674886;1635.9437065148638
31;1.03;162.17484580316437;1514.152855993564;220.06617420744843;1632.3281009541397
32;1.07;158.5234899328859;1510.0668344519015;216.65633802816902;1629.1996870109544
33;1.1;155.91288203370465;1507.5435589831477;215.84273182957392;1627.202380952381
34;1.13;154.78494623655914;1506.0526315789473;212.56798457087754;1624.7698489231757
35;1.17;154.61714770797963;1504.3593661573289;210.83696969696967;1622.729393939394
