Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1;X_Arena0_Ind2;Y_Arena0_Ind2
0;0.0;1542.4329070758736;1718.5665814151746;1507.2357357357357;1771.228978978979;1668.1177467174923;1725.1889030072002
1;0.03;1542.8969126111983;1723.1604744461886;1510.8258032128513;1772.9324799196784;1668.5405622489957;1723.8734939759036
2;0.07;1543.2901919351998;1727.7983799964782;1515.120041215868;1774.8742916022666;1669.5527476935417;1721.5383072603288
3;0.1;1543.80408089563;1732.7172264355363;1518.927310488058;1776.5173935617859;1670.2785114045619;1719.9031612645058
4;0.13;1544.150670241287;1736.4471849865952;1522.403063919704;1777.972266244057;1671.156839149619;1717.9643000401122
5;0.17;1544.700709219858;1740.2702127659575;1526.0158102766798;1779.3831357048748;1671.1422529796232;1717.4006151480198
6;0.2;1546.6577851790175;1734.2348043297252;1519.3738551207327;1778.571190674438;1672.255777516647;1715.3772032902468
7;0.23;1546.6577851790175;1741.0557868442966;1526.1948376353039;1780.2764363030808;1673.0315627405696;1713.9284064665128
8;0.27;1543.2472939217319;1739.3505412156537;1534.7210657785179;1785.392173189009;1667.7302248126562;1712.066611157369
9;0.3;1546.6577851790175;1737.6452955870109;1550.0682764363032;1783.6869275603665;1664.0731707317073;1709.0975609756097
10;0.33;1546.6577851790175;1747.8767693588677;1556.8892589508744;1785.392173189009;1676.2564529558701;1710.361365528726
11;0.37;1548.3630308076604;1747.8767693588677;1570.5312239800166;1788.8026644462948;1672.0;1709.0
12;0.4;1548.3630308076604;1752.992506244796;1577.3522064945878;1787.097418817652;1675.4583333333333;1720.7083333333333
13;0.43;1544.9525395503747;1758.1082431307245;1590.9941715237303;1788.8026644462948;1674.5512073272273;1732.5295587010826
14;0.47;1549.2561174551386;1764.074134493384;1607.2396166134185;1767.266240681576;1677.692417739628;1755.1723891273245
15;0.5;1550.2725292137056;1770.2590612002377;1611.025931164545;1754.4818481848183;1676.657667386609;1758.0410367170625
16;0.53;1554.2328042328043;1776.2899029982361;1614.6381203337723;1743.4057971014493;1675.245576786978;1761.0580325548476
17;0.57;1560.361877116594;1782.790517658442;1617.4489959839354;1734.6353413654617;1673.355108877722;1762.4619765494135
18;0.6;1565.8342412451361;1787.8687418936445;1620.0463672873311;1727.2803943044908;1671.7349004244204;1763.2265752530197
19;0.63;1570.862621486735;1792.3845547675335;1622.3609635139921;1719.6191994332269;1670.7282913165266;1761.906629318394
20;0.67;1576.470801899972;1797.7136071528357;1624.442528735632;1713.177146720757;1666.4930555555557;1760.8414351851852
21;0.7;1581.1920903954801;1801.961299435028;1626.318359375;1707.4485677083333;1667.404360753221;1760.5077634621737
22;0.73;1586.1764705882354;1806.2321682296104;1628.3379583746284;1700.9752229930625;1672.2231134878193;1757.0918003565062
23;0.77;1590.6567291311756;1809.6834185122086;1629.939569270331;1695.5368048858886;1676.5233422539397;1753.2256913470117
24;0.8;1596.3424697907456;1814.1865605658709;1631.7231527093595;1689.1142857142856;1680.5574204946997;1748.7841578327443
25;0.83;1599.9230318993268;1816.718466491074;1633.2817971589031;1683.7251404030392;1683.094506120125;1745.140051238258
26;0.87;1604.2058303886927;1819.8695524146053;1634.7019452687107;1678.521595779756;1686.030456852792;1741.4661590524536
27;0.9;1607.9789377289378;1822.805860805861;1636.0420743639922;1673.8515981735159;1689.945560407569;1737.101601164483
28;0.93;1610.8620792374143;1824.9717009234434;1637.4798822374878;1668.874386653582;1693.8237617745365;1733.4530537830447
29;0.97;1611.7458033573141;1824.9130695443644;1638.7564230897563;1664.1021021021022;1697.7986577181207;1729.35953978907
30;1.0;1612.2695434646653;1824.7285803627265;1639.8262813897488;1659.4640522875816;1700.974761465066;1724.1184979993843
31;1.03;1612.2175969725638;1823.953642384106;1640.7438775510204;1655.3462585034013;1702.7964912280702;1717.795029239766
32;1.07;1612.774647887324;1823.1959311424098;1641.757940488131;1651.6195252423936;1704.9521072796936;1709.6155810983396
33;1.1;1612.264247055078;1822.4119707099649;1642.2584745762713;1647.8668785310733;1707.1443337024732;1699.8851974898487
34;1.13;1612.4678787878786;1822.0648484848484;1643.0951302378255;1644.245375613439;1708.7684996605565;1694.49083503055
35;1.17;1612.1438564476884;1820.9753649635036;1640.94918467956;1622.6829730754644;1712.6658986175116;1677.9996159754223
36;1.2;1613.8247038917089;1821.5583756345177;1641.490578965399;1609.525179856115;1714.8160610139075;1669.8654104979812
37;1.23;1614.207738661592;1819.5369489375198;1641.443729903537;1597.6845301893532;1715.5710955710956;1666.6697746697746
38;1.27;1617.368237347295;1818.4406631762652;1641.9629221732746;1587.5961820851687;1716.9191456903127;1661.385202135774
39;1.3;1621.731308411215;1816.0599688473521;1642.4523305084747;1579.3958333333333;1718.0379310344827;1657.5360153256704
40;1.33;1627.288490284006;1812.6255605381166;1642.7620049071152;1568.428671573782;1720.3716814159293;1649.11209439528
41;1.37;1630.8784648187634;1810.186211798152;1642.837330552659;1561.6482446993393;1721.4497422680413;1644.2414089347078
42;1.4;1633.731663281426;1808.2116903633491;1643.0028218694883;1553.3703703703704;1722.3255336617406;1640.853448275862
