Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1;X_Arena0_Ind2;Y_Arena0_Ind2
0;0.0;739.0845771144278;1678.1323383084575;341.04912572855955;1614.8676103247294;1947.5516611902153;1148.0416210295728
1;0.03;729.3750738334318;1670.6322110651702;334.24216027874564;1595.7346109175376;1946.503801520608;1161.4477791116446
2;0.07;720.2048286604361;1663.7893302180682;330.5843373493976;1584.962707974756;1939.5234126984126;1174.4849206349206
3;0.1;712.0993981751116;1657.7870316443407;327.47582037996546;1574.2714450201497;1934.201189296333;1183.302940204823
4;0.13;704.4899668809662;1652.3025521137736;324.6090856481481;1564.8721064814813;1929.046869878728;1194.9180596525728
5;0.17;697.2304672163328;1647.1321162151548;322.197210599721;1558.2167364016736;1925.2848857045376;1205.7864210167177
6;0.2;690.3417796110783;1642.2893341190336;317.8126561199001;1551.2903136275324;1922.24049331963;1216.021582733813
7;0.23;684.0747570890342;1637.98413642673;309.8137851143932;1544.3223284100782;1919.8803777544597;1225.2332983560684
8;0.27;678.5250517598344;1634.195238095238;301.4740200546946;1537.61257976299;1917.8593368237346;1233.7706806282722
9;0.3;673.2145792775254;1629.9770711659096;294.9638737097753;1532.1353976927746;1916.1149768058315;1240.8943008614974
10;0.33;665.0912698412698;1626.4332399626517;289.3373680943513;1527.4044072004965;1912.7736040609136;1249.3258883248732
11;0.37;649.0651249335459;1620.5667198298777;281.9138834315651;1522.3745907007203;1908.2919495635306;1257.1519560297445
12;0.4;633.843611111111;1612.5402777777776;275.1428077455048;1518.2292531120331;1904.3411687887692;1266.407443682664
13;0.43;614.5774967574578;1602.9931906614786;266.93568540977583;1512.56927600147;1901.0615120274913;1277.4982817869416
14;0.47;603.773202029245;1597.9230080572963;254.75779967159275;1505.3932676518882;1898.567361111111;1287.014236111111
15;0.5;593.9160859465737;1593.1024970963995;240.75349040139614;1499.3416230366493;1895.951596292482;1295.5990387916236
16;0.53;583.9521751656583;1588.1555747623163;254.5;1507.5;1893.9354293441513;1302.9932386747803
17;0.57;559.5575657894736;1575.7058662280701;212.0;1488.0;1888.8232729711601;1323.1830985915492
18;0.6;552.1954495614035;1571.7242324561403;190.0705882352941;1453.5708683473388;1882.678349762687;1334.4257028112447
19;0.63;544.4585741811175;1567.7423616845583;185.0106241699867;1442.6361221779548;1877.185531325718;1347.105572862582
20;0.67;537.956082924168;1564.368248772504;182.25201288244764;1429.4710144927535;1873.2175084175083;1361.7154882154882
21;0.7;531.5772626931566;1560.8112582781457;177.14285714285714;1413.9828571428573;1867.701736806947;1375.9963259853039
22;0.73;526.167270531401;1557.8384661835748;171.65178571428572;1402.6170634920634;1863.7040404040404;1391.5468013468012
23;0.77;521.895444116683;1556.0104883644706;174.0;1406.0;1861.127872127872;1406.3106893106892
24;0.8;512.8920982735723;1548.769588313413;171.44444444444443;1398.222222222222;1857.9027777777776;1421.0088075880758
25;0.83;502.6161262050833;1537.7925796085306;156.87826086956522;1374.335265700483;1854.6933333333332;1433.7593333333332
26;0.87;489.988162496637;1527.0828625235404;153.07282913165267;1366.906629318394;1851.9841269841268;1445.4016242155776
27;0.9;479.42304656669296;1517.6166798210998;150.3019607843137;1359.5656862745097;1849.5768645357687;1455.4882039573818
28;0.93;473.9931657848324;1512.19708994709;151.7214611872146;1349.8858447488583;1845.5652380952379;1466.8095238095239
29;0.97;468.14442449630957;1506.6896070217433;152.0;1348.0;1835.757677275265;1478.7733109994415
30;1.0;462.23854926154416;1501.214619555057;148.0;1335.0;1826.3593854375415;1495.436205744823
31;1.03;456.58199594170816;1495.8926397343664;145.0;1322.0;1831.597222222222;1490.722222222222
32;1.07;448.78878259238417;1488.6968673794784;139.00848484848484;1298.4896969696968;1811.5658709106983;1526.6657824933686
33;1.1;441.5071585903084;1482.1038913362702;136.48970251716247;1292.7826086956522;1808.3240579710143;1533.6910144927535
34;1.13;432.19324796274736;1470.860302677532;133.33534136546186;1283.6680053547523;1802.5511022044088;1545.9331997327988
35;1.17;419.5812913263321;1459.340723453909;130.50178571428572;1275.217261904762;1798.4112347641758;1553.938526762056
36;1.2;408.61522399392555;1448.9863325740318;125.52716950527169;1262.322789943228;1792.433751743375;1568.0390516039051
37;1.23;398.2323778619073;1437.7445466017666;124.11348897535667;1258.7230869001296;1790.8766666666668;1571.8438888888888
38;1.27;384.706462004927;1424.9552776198595;121.12704649639817;1250.4721676489849;1787.0328719723184;1580.329296424452
