Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0
0;0.0;1618.6214111922138;1700.7007299270074
1;0.03;1614.6371599815582;1708.0442600276626
2;0.07;1610.5198135198134;1715.509090909091
3;0.1;1606.2707707707707;1723.3548548548547
4;0.13;1602.7919799498745;1729.9533834586466
5;0.17;1599.3723723723724;1736.4304304304303
6;0.2;1595.1918542336548;1742.9174705251874
7;0.23;1588.5748407643312;1748.7919320594478
8;0.27;1582.622754491018;1756.1047904191616
9;0.3;1576.39797008547;1765.7777777777776
10;0.33;1571.7363031233997;1773.0307219662059
11;0.37;1567.0840021401818;1780.3199571963617
12;0.4;1562.5514746800222;1787.5754034501945
13;0.43;1558.170474516696;1794.5243116578793
14;0.47;1554.7651515151515;1799.9009324009323
15;0.5;1551.751010976314;1804.8521086077412
16;0.53;1548.6401179941001;1810.2766961651917
17;0.57;1546.0017889087655;1814.777579010137
18;0.6;1543.698662012798;1818.8202443280977
19;0.63;1541.0415923945334;1823.4295900178254
20;0.67;1539.3020477815699;1826.42377701934
21;0.7;1537.9770328988204;1828.91930477964
22;0.73;1538.212121212121;1832.8658008658008
23;0.77;1537.5399305555557;1836.734375
24;0.8;1536.0881084411583;1841.3992606284658
25;0.83;1534.5228985507247;1843.228985507246
26;0.87;1532.899173553719;1845.4809917355371
27;0.9;1530.8325859491777;1847.136023916293
28;0.93;1525.2707275803723;1845.0411731528482
29;0.97;1534.0;1844.0
30;1.0;1501.257738095238;1841.2065476190476
31;1.03;1490.7114427860697;1840.3482587064677
32;1.07;1478.9893736017896;1839.103467561521
33;1.1;1473.0982567353408;1838.5668251452719
34;1.13;1461.4654703643282;1833.7226753670473
35;1.17;1475.5;1835.0
36;1.2;1418.83026874116;1821.4870344177273
37;1.23;1401.9666666666665;1816.951937984496
38;1.27;1382.5823341326936;1811.974820143885
39;1.3;1364.162308011623;1807.970112079701
40;1.33;1344.7958041958043;1803.5636363636363
41;1.37;1327.469483568075;1800.4225352112676
42;1.4;1307.7385620915031;1802.6641528406233
43;1.43;1273.5660585959092;1802.1304588170258
44;1.47;1250.1717019133937;1804.9310171198388
45;1.5;1225.6925925925925;1808.1337962962962
46;1.53;1203.7870105062082;1811.2617000955108
47;1.57;1183.774897680764;1814.5411550704864
48;1.6;1163.5432624113475;1818.747990543735
49;1.63;1149.2737940026075;1821.8313776618859
50;1.67;1133.5225806451613;1825.6146236559139
51;1.7;1119.610626816106;1829.1581569115815
52;1.73;1103.6497948016415;1833.3173734610123
53;1.77;1091.68458781362;1836.4377240143367
54;1.8;1079.3514109347443;1840.0577601410932
55;1.83;1070.8627689809175;1842.167681688997
56;1.87;1057.7367475292003;1845.7035040431267
57;1.9;1049.177550149381;1847.7853179684164
58;1.93;1040.3862179487178;1850.063301282051
59;1.97;1032.203041512536;1852.1261816687218
60;2.0;1021.6140819964348;1854.976827094474
61;2.03;1016.6248492159228;1856.1970245275431
62;2.07;1009.7681854516386;1857.6370903277377
63;2.1;1003.5387864823348;1859.0787250384024
64;2.13;991.6651352730984;1860.547217968351
65;2.17;977.2493638676843;1856.9486005089057
66;2.2;992.7777777777777;1855.5555555555554
67;2.23;934.2808112324493;1854.0462818512738
68;2.27;915.6156413924654;1851.524082021936
69;2.3;899.1942544459645;1849.515731874145
70;2.33;885.1434058898848;1847.5753307725138
71;2.37;870.9756944444443;1845.7743055555554
72;2.4;856.8845811051693;1843.7704991087344
73;2.43;844.3695462478184;1842.0078534031413
74;2.47;831.5729166666665;1840.4176136363637
75;2.5;821.3627844712182;1838.9183400267736
76;2.53;807.8928128872367;1836.7719950433705
77;2.57;796.7324025596276;1830.2268760907505
78;2.6;772.5294117647059;1823.125902992776
79;2.63;748.7142134547294;1816.002023267577
80;2.67;726.5145679012345;1808.2538271604938
81;2.7;707.9418546365914;1801.2380952380952
82;2.73;691.199012345679;1794.8548148148147
83;2.77;676.0340030911901;1788.752189592993
84;2.8;661.9055712936732;1782.8541076487252
85;2.83;648.0840145322434;1776.7697547683924
86;2.87;635.0073855243722;1771.193993106844
87;2.9;624.7197480881691;1766.7507872244714
88;2.93;613.3497822931785;1761.898403483309
89;2.97;603.2348877374784;1757.658894645941
90;3.0;594.1059268600252;1753.4930643127364
91;3.03;583.096105209914;1748.0844714213451
92;3.07;574.148087431694;1738.0174863387977
93;3.1;554.8907692307693;1722.8702564102562
94;3.13;555.5555555555555;1731.7777777777776
95;3.17;523.5472222222222;1684.497685185185
96;3.2;510.766709788702;1668.5670547649847
97;3.23;498.7703804347826;1653.2744565217392
98;3.27;487.87327086122264;1638.6010709504685
99;3.3;477.40626398210287;1623.7628635346755
100;3.33;467.7649325626204;1610.2890173410406
101;3.37;459.8964218455743;1598.2749529190205
102;3.4;453.3602430555555;1588.4262152777776
103;3.43;443.4578431372549;1575.9014705882353
104;3.47;455.3333333333333;1587.0
105;3.5;414.4894026974951;1544.721098265896
106;3.53;396.5507042253521;1528.2553990610327
107;3.57;381.3693444136657;1513.0992613111725
108;3.6;366.7759699624531;1498.7726324572382
109;3.63;352.85548654244303;1485.9461697722566
110;3.67;340.8594527363184;1475.1231343283582
111;3.7;328.53086419753083;1464.455938697318
112;3.73;316.3674192120407;1454.2988047808765
113;3.77;305.89677419354837;1445.679569892473
114;3.8;297.3813775510204;1436.6211734693877
115;3.83;303.0;1439.0
116;3.87;270.9840871021775;1412.0427135678392
