Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0
0;0.0;405.94390206105686;337.889043855571
1;0.03;394.44914073385974;349.2316148010528
2;0.07;386.1810989010989;357.24644688644685
3;0.1;376.5248822143698;367.1637220259128
4;0.13;365.37230046948355;378.68669796557117
5;0.17;351.6860841423948;394.63328223471296
6;0.2;336.7992076355123;409.4701962902935
7;0.23;323.4260587431694;422.5216871584699
8;0.27;306.5222596333707;441.3658810325477
9;0.3;289.55607476635515;457.247468847352
10;0.33;277.1120943952802;470.19134709931166
11;0.37;265.0247298420615;483.59725685785537
12;0.4;254.19342906875542;496.1871192341166
13;0.43;243.838139950816;508.2606751620836
14;0.47;232.1422018348624;521.4238022426096
15;0.5;222.10859221942343;539.2591659669745
16;0.53;212.17291832934288;560.974195264698
17;0.57;199.99969586374695;585.2600364963504
18;0.6;192.1894525652049;605.0051590713672
19;0.63;183.74806843267106;622.3040838852096
20;0.67;174.66036702273348;640.4738427827992
21;0.7;166.82623509369677;657.3381601362862
22;0.73;160.78167641325535;670.6730715678084
23;0.77;155.12715637173065;683.5347801892042
24;0.8;149.6456352636128;696.0576202823394
25;0.83;144.36987916298258;707.7595048629531
26;0.87;139.5686274509804;718.7055940023067
27;0.9;131.73798303487277;733.5413132265157
28;0.93;119.20992491021873;750.3006856023507
29;0.97;120.0;749.0
30;1.0;125.5;756.0
31;1.03;110.5;766.5
32;1.07;71.3428470754052;823.6955602536998
33;1.1;65.76190476190476;813.5238095238094
34;1.13;61.533333333333324;850.6
35;1.17;66.93981481481481;884.8987268518517
36;1.2;67.13837064676616;911.0917288557213
37;1.23;67.55717970765262;925.8463743192891
38;1.27;68.43203309692672;944.7839834515365
39;1.3;69.18206820682067;959.3440594059406
40;1.33;69.49809774656131;975.4386889083991
41;1.37;69.54543010752688;985.5879032258065
42;1.4;70.14108830237862;1000.536982730531
43;1.43;72.47563559322033;1013.5367231638418
44;1.47;83.11488014473089;1043.5373134328358
45;1.5;85.97234352256186;1066.0325084910237
46;1.53;91.1243842364532;1088.5726600985222
47;1.57;92.02222222222223;1077.674074074074
48;1.6;97.0;1110.6666666666665
49;1.63;97.66666666666666;1111.6666666666665
50;1.67;103.78538812785388;1165.2106979778212
51;1.7;105.39133627019089;1179.91483113069
52;1.73;104.66666666666666;1170.0
53;1.77;109.44092409240923;1207.7148514851485
54;1.8;105.94628751974723;1207.6587677725117
55;1.83;123.17204301075267;1225.7526881720428
56;1.87;150.86084142394822;1273.6909385113267
57;1.9;151.6284501061571;1276.1740976645433
58;1.93;154.48484848484847;1281.6666666666665
59;1.97;170.0;1311.0
60;2.0;189.44289508632139;1346.1733067729083
61;2.03;193.82826887661142;1354.7886740331492
62;2.07;200.07003183265118;1366.8426557526147
63;2.1;207.63735224586284;1384.2151300236405
64;2.13;219.86379395740462;1401.1768202080239
65;2.17;225.42296918767505;1414.1584633853543
66;2.2;230.90389708664395;1433.2020431328037
67;2.23;237.34948604992655;1453.1945668135095
68;2.27;234.0;1439.0
69;2.3;248.78692411924118;1487.389566395664
70;2.33;253.74197384066588;1503.5552913198574
71;2.37;257.34171656686624;1515.4994011976048
72;2.4;261.89341825902335;1533.0479830148618
73;2.43;270.4652532391048;1550.0594817432273
74;2.47;279.31948291782084;1562.3901200369341
75;2.5;288.4730769230769;1581.2760683760682
76;2.53;289.66666666666663;1582.3333333333333
77;2.57;316.80517503805174;1626.8325722983257
78;2.6;312.3333333333333;1622.6666666666665
79;2.63;355.001312335958;1653.3048993875764
80;2.67;370.753339546443;1667.296986641814
81;2.7;382.71185952792166;1678.4389752446746
82;2.73;396.57966195622055;1691.5500138542532
83;2.77;408.4649406688241;1702.9072276159652
84;2.8;420.0442930153322;1713.9522998296422
85;2.83;427.191313615774;1722.2744471089793
86;2.87;443.17910970907815;1741.4490010515246
87;2.9;457.59422799422794;1755.3887445887447
88;2.93;472.99558273870196;1773.3499830105334
89;2.97;485.0811165845648;1787.1714285714286
90;3.0;503.23110528615115;1800.9829619921363
91;3.03;516.5817543859649;1806.6252631578948
92;3.07;537.977000323939;1819.8555231616456
93;3.1;556.3210576015109;1832.0078690588605
94;3.13;572.5776056792513;1842.3649564375605
95;3.17;587.6050800278357;1850.4436325678496
96;3.2;608.1283273738577;1854.0508541914976
97;3.23;624.5559038662487;1856.9529780564264
98;3.27;608.6666666666666;1851.1333333333332
99;3.3;617.3333333333333;1856.3333333333333
100;3.33;638.0;1863.0
101;3.37;686.1149297856615;1875.5136733185514
102;3.4;698.4869169510807;1879.5377322715206
103;3.43;709.0142212972597;1882.8182448838015
104;3.47;720.7974522292993;1886.804670912951
105;3.5;729.203026481715;1889.429171920975
106;3.53;737.4673084636983;1892.0942639390291
107;3.57;747.3813852813852;1895.4922077922079
108;3.6;759.5395799676899;1899.343026386645
