Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0
0;0.0;1903.5344827586207;1212.735632183908
1;0.03;1897.296376811594;1200.731884057971
2;0.07;1893.0835102618541;1183.6411889596602
3;0.1;1888.1745098039216;1168.3640522875817
4;0.13;1883.5608365019011;1156.659062103929
5;0.17;1878.4793281653745;1145.175064599483
6;0.2;1873.592377260982;1134.8869509043927
7;0.23;1869.048556430446;1125.6627296587926
8;0.27;1865.1091954022988;1117.5542784163472
9;0.3;1859.0582120582121;1110.202356202356
10;0.33;1849.8084210526315;1099.9480701754385
11;0.37;1842.5118110236222;1085.2427821522308
12;0.4;1834.41381495564;1071.7471482889734
13;0.43;1826.332075471698;1060.5534591194967
14;0.47;1818.4421252371917;1049.9184060721063
15;0.5;1811.609022556391;1040.8677944862154
16;0.53;1805.5208333333333;1032.8567708333333
17;0.57;1802.4829931972788;1020.3394557823129
18;0.6;1798.7666666666667;1001.8965986394558
19;0.63;1791.4899856938482;981.0429184549356
20;0.67;1788.2455782312923;962.2054421768706
21;0.7;1784.052953156823;944.0875763747454
22;0.73;1779.4305555555557;926.991402116402
23;0.77;1775.5577557755776;911.8356435643565
24;0.8;1771.9164941338854;896.7267080745341
25;0.83;1768.8150289017342;884.3275529865125
26;0.87;1765.7931034482758;871.9604086845466
27;0.9;1762.9357923497266;860.0997267759562
28;0.93;1760.2669376693766;849.4457994579946
29;0.97;1760.1368267831149;836.6906841339155
30;1.0;1761.8818466353678;819.3192488262911
31;1.03;1763.8333333333333;826.6666666666666
32;1.07;1757.3817204301074;771.4039938556067
33;1.1;1752.92581300813;726.5873983739837
34;1.13;1751.718045112782;704.562656641604
35;1.17;1750.5;711.5
36;1.2;1749.977886977887;675.0491400491401
37;1.23;1748.991825613079;660.275204359673
38;1.27;1746.9685039370079;650.2720909886264
39;1.3;1750.6666666666665;658.3333333333333
40;1.33;1737.5787728026532;607.6832504145937
41;1.37;1734.5120898100172;587.7737478411053
42;1.4;1730.3956639566395;568.5654923215899
43;1.43;1727.765367965368;554.4277056277056
44;1.47;1724.0650623885915;535.8440285204991
45;1.5;1721.719540229885;524.9632183908046
46;1.53;1718.804897314376;511.0086887835703
47;1.57;1715.7593014426725;497.083523158694
48;1.6;1712.4561403508771;482.9658869395711
49;1.63;1710.3102409638554;471.99497991967866
50;1.67;1708.6056587091068;464.6976127320955
51;1.7;1706.4943820224719;457.11011235955056
52;1.73;1705.9852670349908;446.55801104972375
53;1.77;1704.0310502283103;433.0584474885844
54;1.8;1696.6553672316384;419.97457627118644
55;1.83;1692.1024305555554;411.74826388888886
56;1.87;1680.3217299578057;384.9261603375527
57;1.9;1676.3956456456456;376.7852852852853
58;1.93;1685.1439393939393;381.27272727272725
59;1.97;1662.0;360.0
60;2.0;1638.8427464008857;350.4451827242525
61;2.03;1631.0554089709763;345.5936675461741
62;2.07;1621.14039408867;340.10591133004925
63;2.1;1611.2849206349206;334.76269841269834
64;2.13;1620.5;338.41666666666663
65;2.17;1592.1879350348029;324.63495746326373
66;2.2;1580.5059171597634;319.3500986193294
67;2.23;1570.9606741573034;315.01498127340824
68;2.27;1563.6519607843136;311.6205882352941
69;2.3;1559.0097159940208;309.8206278026906
70;2.33;1554.0799396681748;307.6289592760181
71;2.37;1547.052995391705;304.5483870967742
72;2.4;1543.5;304.0
73;2.43;1542.5;304.0
74;2.47;1542.5;306.0
75;2.5;1519.2395604395604;289.71501831501826
76;2.53;1505.7674418604652;284.74332472006887
77;2.57;1494.9526791927626;281.7856645789839
78;2.6;1483.6754385964912;277.7975708502024
79;2.63;1472.765748031496;273.746062992126
80;2.67;1460.1913439635534;269.85573272589215
81;2.7;1451.1903719912473;266.83005105762214
82;2.73;1444.75234270415;264.8574297188755
83;2.77;1438.1566484517305;263.0224650880388
84;2.8;1425.0705467372134;259.35185185185185
85;2.83;1421.7964669738863;258.58371735791087
86;2.87;1415.1995412844037;256.3914373088685
87;2.9;1406.1691176470588;249.7614379084967
88;2.93;1391.6047950502707;244.23356535189478
89;2.97;1402.190476190476;247.47619047619045
90;3.0;1361.9333333333332;236.02826086956523
91;3.03;1351.1776887107549;232.1456245824983
92;3.07;1338.2094641614474;227.91649269311065
93;3.1;1327.2555780933062;224.00067613252196
94;3.13;1316.4401622718053;220.44286680189316
95;3.17;1306.9260027662515;216.50622406639005
96;3.2;1297.048363095238;207.33779761904762
97;3.23;1280.9362439362437;198.55162855162854
98;3.27;1264.3003802281369;189.71292775665398
99;3.3;1249.0494540783557;178.1862556197816
100;3.33;1234.6816760475297;167.94434021263288
101;3.37;1222.1506931886677;159.03315250150692
102;3.4;1211.5157657657655;151.63569819819818
103;3.43;1199.047619047619;143.02603174603172
104;3.47;1189.5772357723577;136.5422138836773
105;3.5;1178.846100759144;127.6376811594203
106;3.53;1165.6434782608696;120.39347826086957
107;3.57;1146.1285223367695;119.67903780068727
108;3.6;1124.9716629381057;117.60477255779269
109;3.63;1108.6136514247846;115.45129224652088
110;3.67;1092.8821218074656;112.92010478061557
111;3.7;1078.6011042097998;111.17736369910283
112;3.73;1065.353205128205;109.87307692307692
113;3.77;1053.5546823837587;109.33398821218074
114;3.8;1042.7361581920902;112.84293785310733
115;3.83;1021.3283395755304;117.95817727840199
116;3.87;1029.2222222222222;114.0
117;3.9;985.5491367861885;125.71513944223108
118;3.93;970.9287531806615;130.11068702290078
119;3.97;956.9837251356239;133.99517781796263
120;4.0;944.7376543209876;137.07222222222222
121;4.03;933.8677839851024;140.3711980136561
122;4.07;923.5481347773766;143.57220216606498
123;4.1;913.8622141997593;146.79061371841155
124;4.13;904.7766143106458;149.8958696916812
125;4.17;897.8695156695156;152.1196581196581
126;4.2;887.5476603119585;154.85441941074524
127;4.23;873.8671775223498;154.52107279693487
128;4.27;855.2289803220036;158.56469886702442
129;4.3;838.3256501182033;163.5372340425532
130;4.33;821.7873176206509;167.6094276094276
131;4.37;807.7247863247864;170.5794871794872
132;4.4;793.1300665456745;173.77374470659407
133;4.43;781.5763016157989;176.65050867743864
134;4.47;771.1663778162912;179.38590410167532
135;4.5;759.6135181975736;181.841132293472
136;4.53;748.1838868388683;182.63161131611315
137;4.57;730.7387387387387;186.66023166023166
138;4.6;715.1867924528302;193.82389937106916
139;4.63;701.0856962822936;198.96660365469438
140;4.67;686.2493589743589;204.01346153846154
141;4.7;672.839175257732;208.25154639175258
142;4.73;660.5341207349081;212.70669291338584
143;4.77;649.6175507531107;216.65029469548134
144;4.8;640.4773741236455;219.7253027405991
145;4.83;632.7738095238095;222.64464285714286
146;4.87;623.804788213628;225.48987108655618
147;4.9;615.0611111111111;227.42777777777778
148;4.93;603.0173535791757;228.56688358640636
149;4.97;589.3637515842838;234.96768060836501
150;5.0;577.2802746566791;243.0131086142322
151;5.03;565.1769383697813;251.12392312789927
152;5.07;553.531914893617;258.75106382978726
153;5.1;544.020393811533;265.3762306610408
154;5.13;535.0076869322152;271.96715583508035
155;5.17;527.4569209039548;277.49152542372883
156;5.2;519.522026431718;283.48384728340676
157;5.23;512.3686763686763;288.6458766458766
158;5.27;504.7801087801088;294.47008547008545
159;5.3;500.7521885521885;297.56835016835015
160;5.33;494.46259985475666;302.59186637618006
161;5.37;489.49479166666663;306.73660714285717
162;5.4;485.69812734082393;314.03895131086136
163;5.43;479.84137931034485;327.58237547892713
164;5.47;469.7632183908046;341.4068965517241
165;5.5;461.9949494949495;353.9422799422799
166;5.53;455.62441314553985;366.1985244802146
167;5.57;449.77316735822956;377.4882434301521
168;5.6;444.0284722222222;388.92013888888886
169;5.63;439.61288039631984;398.3552724699221
170;5.67;436.98829201101927;408.5440771349862
171;5.7;434.82536520584324;421.69787516600263
172;5.73;428.4005431093007;437.23217922606926
173;5.77;423.03062678062673;451.3682336182336
174;5.8;418.6479481641469;465.6177105831533
175;5.83;414.3333333333333;478.49602313810556
176;5.87;410.40810621942694;490.1362683438155
177;5.9;406.53583855254;501.5741127348643
178;5.93;403.5151515151515;510.5716253443526
179;5.97;400.52361111111105;520.0763888888889
180;6.0;397.73246565437455;528.1952277657267
181;6.03;395.0629629629629;535.7762962962962
182;6.07;387.4159226190476;544.3184523809524
183;6.1;379.5199692780338;560.8533026113671
184;6.13;374.92699115044246;576.386430678466
185;6.17;368.01973220577867;592.1155743481324
186;6.2;361.437865497076;605.6147660818713
187;6.23;355.89871504157213;617.8412698412699
188;6.27;350.2949586155004;630.0519187358916
189;6.3;345.48249619482493;639.9672754946727
190;6.33;336.7052797478329;650.3128447596532
