Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1;X_Arena0_Ind2;Y_Arena0_Ind2
0;0.0;1841.98955173576;510.2315470171891;258.1636215996752;437.38652050345104;1423.0851735015772;140.61829652996846
1;0.03;1851.5773930753564;520.9439918533604;251.61111111111111;442.48320413436693;1436.5643564356435;151.3391089108911
2;0.07;1858.788116225922;534.6444662095985;244.4384105960265;448.66269315673287;1450.399193548387;157.52217741935485
3;0.1;1865.1389438943893;550.192409240924;238.21550179211468;452.80197132616485;1464.8929487179485;163.5621794871795
4;0.13;1873.6006666666665;565.2623333333332;235.0908687943262;455.5248226950354;1478.2914285714285;169.03174603174602
5;0.17;1881.9771071800208;579.8557058619493;229.03994490358127;460.23094582185485;1490.1295238095238;173.65968253968254
6;0.2;1889.0259179265659;596.0010799136069;220.0045871559633;466.8970438328236;1500.3739837398373;177.79674796747966
7;0.23;1900.0197984161266;611.2447804175665;216.9779962546816;470.00655430711606;1509.6195856873824;181.48838669177653
8;0.27;1889.2666666666664;598.5333333333333;213.79207007837712;472.3789764868603;1517.2211660329529;184.52027883396704
9;0.3;1919.6365811965811;637.0495726495726;210.7478100507146;474.285846011987;1524.6516853932585;187.85393258426967
10;0.33;1926.687624750499;648.5652029274783;205.35723771580345;476.82425852146963;1530.5658773527625;190.7686703096539
11;0.37;1930.6925403225807;657.8229166666666;201.32185430463576;478.82428256070637;1536.132110091743;193.63730886850152
12;0.4;1932.3957528957528;669.8603603603602;199.8572504708098;481.2297551789077;1540.9652278177457;196.33932853717025
13;0.43;1937.4986123959297;687.0366944187481;195.84224497535075;486.5373530527114;1544.9738219895287;198.68993600930773
14;0.47;1943.858251268278;702.4010743061773;193.82381959126144;492.57998590556724;1549.646282973621;201.23561151079136
15;0.5;1948.5148809523807;719.8416666666666;191.46372549019608;499.2271241830065;1554.556162720097;207.61566484517303
16;0.53;1957.437148217636;737.3248905565978;185.75627615062763;508.56589958159;1563.8898305084747;213.79604519774009
17;0.57;1965.9593345656192;753.3595194085028;179.8951670220327;515.321606254442;1574.4764102564102;216.70153846153846
18;0.6;1973.19946571683;770.0560997328585;175.29588766298897;522.1899030424607;1587.3009259259259;223.2355324074074
19;0.63;1981.1345029239762;785.9178362573099;171.22506861848123;529.0015248551388;1596.3307086614172;233.8278215223097
20;0.67;1986.089997133849;798.6483233018057;166.70071684587813;536.2709080047789;1606.0265049415991;242.80233602875109
21;0.7;1989.2326885337818;811.2220353238015;162.03180428134556;543.4324159021406;1615.310816244471;250.32046642541212
22;0.73;1992.323072656683;824.4009983361065;157.82945013979497;549.7023920472196;1623.791039011201;257.13016608729237
23;0.77;1996.6767511583537;836.2913600436085;153.8674552623597;555.2296026690931;1632.0046838407495;263.86572989851675
24;0.8;2001.4051490514903;847.6314363143631;150.4365891472868;560.4300775193798;1638.9715494040752;269.3840830449827
25;0.83;2004.969155844156;860.004329004329;147.56868217054262;565.1668217054263;1645.7855175127902;274.7969303423849
26;0.87;2010.4257724189902;883.9424767646319;143.81744548286605;573.3859813084113;1657.2160126833132;283.78993261989694
27;0.9;2010.918772072806;899.1760391198044;141.5491651205937;580.1057513914657;1662.4131687242796;288.1362139917695
28;0.93;2007.5652281746031;932.4794146825396;135.7949465500486;596.5613864593456;1666.8149374540103;295.30941869021336
29;0.97;2007.7284904688304;949.8982483256053;132.30959349593493;604.129756097561;1665.3238596491226;295.7705263157895
30;1.0;2006.2377490576196;967.6071620893914;129.60358688930117;610.9189857761286;1657.3581560283687;289.6212765957447
31;1.03;2008.1915874387782;999.0299625468164;126.18231687641175;626.836398838335;1642.0681723128398;276.1526557925554
32;1.07;2008.7443564936966;1015.6613896218117;122.81893860561915;639.2545959070412;1632.5079775765414;264.509702457956
33;1.1;2009.888236937692;1042.4884045822855;127.0;638.0;1632.9333333333332;270.1333333333333
34;1.13;2011.1844095404301;1055.6093659104129;118.52531389226407;666.7974888618874;1630.5555555555554;270.22222222222223
35;1.17;2012.0963519910886;1068.106655527708;115.1623748211731;678.115522174535;1623.6666666666665;260.66666666666663
36;1.2;2010.9176470588236;1092.1509803921567;110.17055214723926;700.2879345603271;1571.8002853067046;222.16547788873038
37;1.23;2011.0510416666664;1100.9744791666667;109.14243102162564;708.0991797166294;1563.337627482555;217.47933440687063
38;1.27;2008.7450980392155;1083.4117647058824;105.43049744304973;731.0283589028359;1549.777975133215;207.141503848431
39;1.3;2011.1446983011128;1134.1294669009958;105.0717299578059;737.6776371308016;1546.0136482939631;201.7968503937008
40;1.33;2012.9302979201796;1153.5764474423831;102.68423364075538;757.3504611330699;1525.3665987780041;185.8581126951799
41;1.37;2014.2296010296009;1163.3608751608751;100.9438896814075;768.3941987636708;1520.1794403892943;182.15997566909974
42;1.4;2013.0476939203354;1185.59250524109;98.6603872318158;791.5897435897435;1517.0;183.0
43;1.43;2011.7265518184304;1197.6551818430405;98.0;798.0;1506.0;179.91666666666666
44;1.47;2011.0;1202.0;92.61310649023314;830.7718966603654;1483.7777777777776;162.55555555555554
45;1.5;2005.7450980392155;1197.4117647058824;92.14555555555555;837.7483333333333;1458.9455657492354;146.01529051987768
46;1.53;1999.3770542635657;1245.8756589147285;90.90082159624413;845.943661971831;1453.606337599025;142.75258988421692
47;1.57;1995.5;1255.0;90.2434456928839;860.186730872124;1446.3655244029076;136.62928348909657
48;1.6;1986.8409638554217;1285.7578313253011;88.25260416666666;873.5989583333333;1427.8979963570127;121.31602914389799
49;1.63;1981.8995799923634;1296.8743795341732;88.13436692506458;879.032299741602;1424.9222999222998;118.07381507381507
50;1.67;1977.492657856094;1307.7136563876652;88.08030592734225;885.4193753983428;1421.4996353026986;115.21735959153901
51;1.7;1973.5746872700513;1320.2950699043413;88.6118067978533;889.0417412045318;1417.9980732177264;113.57546563904945
52;1.73;1966.2474674384948;1341.1341051616014;87.80698287220025;895.7878787878788;1410.8865619546248;106.77661431064571
53;1.77;1962.028263795424;1350.1749663526246;87.3084175084175;901.0855218855219;1411.770025839793;106.29198966408268
54;1.8;1955.8595505617977;1365.9208801498128;88.41682360326428;904.8330194601381;1394.6992287917737;104.79348757497857
55;1.83;1949.92259313014;1379.8742138364778;89.64493996569469;907.7724413950828;1389.792172739541;104.24696356275304
56;1.87;1956.0;1368.0;89.20162932790224;923.0061099796334;1381.5265700483092;102.19323671497584
57;1.9;1933.8934878587195;1411.8443708609273;88.03848541278708;930.211669770329;1377.0694444444443;102.09722222222221
58;1.93;1929.2461913467396;1424.0591102985982;87.6334422657952;935.6274509803922;1367.6666666666665;101.33333333333333
59;1.97;1921.765270506108;1438.2120418848167;87.46957123098201;945.3706777316735;1345.2666666666667;96.53333333333333
60;2.0;1912.307270233196;1457.0288065843622;89.79564879564879;955.5407925407925;1319.8579234972676;81.49453551912568
61;2.03;1908.984375;1463.353125;90.93023255813954;963.629457364341;1312.509186351706;78.2755905511811
62;2.07;1903.0;1473.0;90.5012285012285;975.8263718263718;1306.8708920187794;76.66431924882629
63;2.1;1887.4780701754387;1490.9381091617934;89.3924592973436;985.0188517566409;1302.4119658119657;75.12820512820512
64;2.13;1877.088754412506;1510.0226928895613;88.60456621004566;994.7671232876712;1295.9337748344371;71.86975717439293
65;2.17;1872.0;1512.0;87.85894206549118;1001.471032745592;1291.7535353535352;70.17575757575757
66;2.2;1863.8637435172086;1537.3592644978783;86.8709106984969;1008.7320954907162;1294.0;71.0
67;2.23;1854.831140350877;1552.288596491228;86.95061728395062;1012.9975308641975;1290.0;68.0
68;2.27;1843.7391067538126;1565.3071895424837;84.83006535947712;1022.7690631808279;1281.2266139657443;64.18840579710145
69;2.3;1833.8441452468378;1573.0616075071398;84.90875232774674;1026.3351955307262;1272.825;60.79861111111111
70;2.33;1823.486703096539;1587.3712204007284;87.3998505231689;1028.9140508221226;1265.4733581164808;56.37050805452292
71;2.37;1811.7804232804233;1604.3386243386242;89.0;1025.5;1259.98431372549;52.890196078431366
72;2.4;1816.3030303030303;1600.3030303030303;88.96197718631178;1051.2801013941696;1248.5183486238532;46.34097859327217
73;2.43;1791.166305133767;1633.5567606652205;88.96743295019157;1055.6130268199233;1240.388392857143;43.27529761904761
74;2.47;1779.7641285956006;1649.6964467005075;90.64739229024943;1067.6666666666667;1235.0457933972311;40.753993610223645
75;2.5;1766.2885069093359;1663.964610717897;91.05383734249713;1078.6552119129437;1229.8425;37.0075
76;2.53;1755.124075859852;1679.4924461587912;88.66815476190474;1093.4895833333333;1222.912757201646;32.38765432098766
77;2.57;1746.6232020012508;1692.2551594746717;88.58463136033228;1098.4755970924193;1218.383617193836;30.742092457420924
78;2.6;1735.9567732115677;1704.8182648401826;88.4271523178808;1106.387417218543;1224.5;30.5
79;2.63;1722.9499553172475;1716.0324694667856;87.62037037037037;1113.5074074074073;1225.018018018018;28.090090090090087
80;2.67;1710.4185606060605;1731.5419823232323;85.84102564102564;1123.0320512820513;1185.862745098039;38.87955182072829
81;2.7;1700.7599106644332;1743.5644891122279;86.14827201783723;1126.6845039018951;1170.7777777777776;36.131011608623545
82;2.73;1711.952380952381;1733.5238095238094;87.45216515609265;1128.8207452165154;1164.4599358974358;36.80608974358974
83;2.77;1699.6666666666667;1739.8333333333333;92.3151815181518;1138.7937293729372;1154.265625;38.303385416666664
84;2.8;1664.5552691867124;1782.4043528064146;92.64583333333333;1132.3125;1143.5023084025854;42.45706371191136
85;2.83;1651.8940880503144;1791.3235220125785;93.00597371565112;1155.047789725209;1135.8876508820797;45.44568245125348
86;2.87;1637.5980754996299;1803.5857389587957;92.29818956336528;1162.9787007454738;1122.7642276422764;50.62032520325203
87;2.9;1625.98613998614;1815.4019404019405;92.25319396051103;1172.9279907084785;1114.7309573724667;55.9685534591195
88;2.93;1614.350686912509;1827.2472885032537;92.54136253041362;1184.0413625304136;1105.6110056925995;59.75268817204301
89;2.97;1605.2900309302877;1835.0763740185582;90.99203980099502;1191.55223880597;1094.1538461538462;65.04343275771846
90;3.0;1594.1000250062514;1843.142785696424;90.29638752052544;1196.8817733990147;1087.2789802789803;69.98220298220298
91;3.03;1581.8894915254236;1849.0517514124292;89.56183456183456;1205.2964782964782;1079.680625348967;74.70184254606365
92;3.07;1566.6754981884055;1858.3109148550723;89.14501510574019;1212.887210473313;1067.723404255319;77.78014184397163
