Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1;X_Arena0_Ind2;Y_Arena0_Ind2
0;0.0;1709.4265416311453;349.6268826371128;826.1213235294117;1991.047487745098;1822.6406581740976;546.9851380042462
1;0.03;1722.1442786069651;361.6965174129353;822.4297373119101;1988.159143075746;1827.4406504065041;567.310027100271
2;0.07;1734.5020289855072;373.97188405797095;813.676674364896;1984.7621247113163;1830.3312661498705;587.4956072351421
3;0.1;1743.4919540229885;387.29109195402293;803.5781688344808;1979.655700076511;1836.9809220985692;607.6301006889241
4;0.13;1754.7503949447075;403.2733017377567;795.9059963341189;1976.1335428122545;1840.711831124202;628.2930780559647
5;0.17;1764.9324975891996;420.1327547412407;786.9258964143427;1974.3561752988048;1844.1853351327034;645.1286549707602
6;0.2;1775.8263743910925;439.580375782881;776.5642023346303;1973.645914396887;1848.2601323407773;660.6803143093465
7;0.23;1787.3489694385216;460.1915422885572;767.7508719481814;1972.2286995515694;1852.7800813008128;675.7967479674796
8;0.27;1795.0837121212119;481.10378787878784;759.0787003610109;1968.7590854392297;1856.860077021823;689.7637997432606
9;0.3;1806.293283270755;501.6253650396328;749.0355587808418;1965.9995162070632;1860.4491666666665;701.5675
10;0.33;1806.0;492.0;740.3751714677641;1962.9421582075902;1867.0508840017249;712.9663648124191
11;0.37;1827.228490832158;540.87023977433;730.6712427745665;1958.5604527938342;1877.4868008948545;724.579865771812
12;0.4;1840.226107226107;562.2074592074591;721.8481916609076;1953.4480534439067;1886.782528735632;738.1632183908044
13;0.43;1850.5308816595943;581.1456859971712;714.0946236559139;1948.1019354838709;1895.0411160058736;748.7156142927067
14;0.47;1862.0323033707866;598.7462546816479;705.3072519083969;1942.8619592875318;1904.8923327895595;758.5187601957585
15;0.5;1870.171236171236;615.7190957190957;694.3995241185377;1938.445598096474;1894.375;749.5
16;0.53;1877.9339122045344;633.1109503135551;685.8893220706085;1934.3716699155295;1917.6405367231637;781.3580508474577
17;0.57;1884.928499496475;649.9194360523666;677.7335436382754;1929.2424815983175;1916.2148014440434;790.9957882069795
18;0.6;1885.095238095238;635.1904761904761;668.548783068783;1923.9741798941798;1916.5889763779528;801.140157480315
19;0.63;1890.9348717948715;687.5328205128205;659.0093926111459;1918.0313087038196;1918.4723991507428;815.3343949044586
20;0.67;1897.288624787776;705.4883984153932;652.859880239521;1912.6067864271456;1917.905140434552;829.4239533651298
21;0.7;1899.4652777777776;722.9315476190476;644.9669353172143;1906.6718330233518;1917.7066276803118;842.167641325536
22;0.73;1898.3333333333333;710.3888888888888;634.8361370716511;1901.0928348909658;1919.8626907073508;856.0901525658808
23;0.77;1906.6166194523134;754.7728989612842;626.3163327261688;1896.5027322404371;1921.4229885057468;870.7374712643677
24;0.8;1903.0;751.0;619.92993754879;1892.0694769711163;1922.4641235240688;883.7306993642143
25;0.83;1915.3494152046783;781.3840155945419;613.3575610740965;1886.7270341207347;1923.6119016817595;894.7425614489003
26;0.87;1919.0359960552266;793.5700197238658;606.4297008547009;1881.3200854700854;1924.8387387387386;906.0927927927927
27;0.9;1921.4696531791908;802.8439306358382;599.9748585795097;1876.0483972344437;1926.3154602323502;915.7846291331545
28;0.93;1923.472878998609;812.3528048215113;594.4136852394917;1870.0011730205279;1927.6163522012578;924.7753818508535
29;0.97;1925.4135373203521;821.148354195642;592.6571484071484;1861.6161616161614;1928.7857142857142;932.7529200359388
30;1.0;1927.4637281910007;828.4825528007345;590.911801242236;1852.2964803312627;1929.6671064204045;940.2700087950747
31;1.03;1929.360385144429;836.3452544704264;587.9849931787176;1845.7100954979537;1932.0494186046512;948.0663759689922
32;1.07;1929.840909090909;858.635918003565;583.3988450816407;1845.7343687773794;1939.5;952.0
33;1.1;1929.7563395810364;866.0496141124587;589.0159458278724;1851.520751419834;1929.2832151300233;990.7976359338061
34;1.13;1930.05987394958;874.1218487394958;596.1052193803285;1856.5691411935952;1926.2640632264063;1006.4053928405392
35;1.17;1930.6659047619046;884.328;605.6210131332083;1860.8117573483428;1923.3526135389889;1020.9695801199656
36;1.2;1930.5392628205127;898.8497596153846;616.3042328042328;1864.4485144485143;1919.470466749277;1033.6885584469228
37;1.23;1930.562905317769;902.9387159533073;624.4275570907695;1866.4248704663212;1916.960827790096;1042.5960827790095
38;1.27;1930.0969764011797;913.7042772861356;638.0982389136431;1870.6660301294291;1914.6170212765958;1055.8353033884948
39;1.3;1930.6258790436004;919.8372011251757;648.6668951336532;1874.2154443682887;1908.7430379746836;1071.5350210970464
40;1.33;1929.3469879518073;932.7176706827308;657.4937560038423;1876.428914505283;1901.951077943615;1088.3101160862354
41;1.37;1928.414799003913;945.612949128424;665.4069501600366;1878.7654320987654;1898.066098945661;1103.2258718572587
42;1.4;1929.039263803681;964.2858895705522;674.6225345167653;1881.5897435897434;1892.420338983051;1118.7186440677965
43;1.43;1926.2499134648665;979.4572516441674;680.5514820592824;1883.3031721268849;1885.9076154806492;1132.9529754473574
44;1.47;1922.7994791666665;997.024181547619;687.2600679281901;1885.3010674429888;1881.745027844073;1147.8389021479713
45;1.5;1919.3447488584475;1013.0117960426179;692.9611494252873;1886.6774712643676;1880.0810065494657;1155.5425715270594
46;1.53;1914.1062915201248;1029.8987885892927;702.2547146705854;1889.3078618662748;1877.4655581947743;1167.6718131433095
47;1.57;1909.7077244258874;1046.2459986082115;709.5887946543305;1891.5854536108966;1875.2373056994818;1175.757512953368
48;1.6;1906.4150427350426;1061.1647863247863;716.0023183925812;1892.8289541473466;1874.485172004745;1189.6461051799129
49;1.63;1903.4596153846153;1072.6083333333331;721.4872556297945;1890.2581044295964;1876.0357411587659;1200.9349134687734
50;1.67;1899.8989572096368;1087.5325422509889;729.3166152263374;1886.6041666666667;1875.5669383003492;1221.523864959255
51;1.7;1898.3033158813262;1101.1005235602095;733.0890393779783;1879.8309505894154;1879.0142348754448;1237.1720047449585
52;1.73;1894.1627590893645;1117.2935779816514;729.2907465825447;1876.8449001051522;1881.0;1232.0
53;1.77;1889.5288888888888;1129.7761904761905;723.8973091707852;1872.979406919275;1888.6493644067796;1270.5522598870057
54;1.8;1885.4526244035444;1142.562372188139;720.3436282693377;1869.6140790205898;1894.1472416472416;1286.6118881118882
55;1.83;1883.2186346863468;1151.4394218942189;712.6071741032371;1866.046660834062;1898.2614167565623;1298.183387270766
56;1.87;1879.5047713063507;1165.8236261928266;706.056338028169;1860.8609154929577;1903.3275928052046;1313.038652889399
57;1.9;1875.955868544601;1174.5361502347419;702.447300103842;1857.6731568016612;1906.2775956284154;1322.583242258652
58;1.93;1872.4562866852023;1188.0679641643496;694.1280406308473;1851.8155573376102;1909.0893098782137;1335.507893549842
59;1.97;1870.0201822916665;1200.5670572916665;688.5420222394621;1848.4266873545384;1901.2453551912565;1350.8295081967212
60;2.0;1866.9409448818897;1212.5403543307086;680.8007529684332;1845.4213727193744;1891.924023542001;1367.3124665596574
61;2.03;1865.0791346427554;1219.7557643040136;674.6225490196078;1842.606401384083;1886.2438070404173;1381.2107779226421
62;2.07;1864.000292654375;1232.8132865086332;667.880972575629;1839.354255018377;1877.47399829497;1398.049019607843
63;2.1;1864.7777777777776;1244.965457685665;656.4680105170903;1837.4452234881683;1870.1873449131513;1413.5479735318443
64;2.13;1863.8549057206774;1260.5682326621923;644.5059726962457;1834.1865756541524;1870.5;1408.0
65;2.17;1863.0349794238682;1269.5920047031157;636.4697093181201;1831.9277370279813;1870.6666666666665;1416.0
66;2.2;1862.9812519860184;1281.3431839847474;624.8494533221194;1829.880852256798;1853.1817716333844;1458.8934971838198
67;2.23;1862.9497455470737;1290.2197837150127;611.7299797629372;1827.2523850823939;1849.8859028760019;1467.5124941065535
68;2.27;1863.009955041747;1299.6008349389851;600.1915807560138;1823.5727376861396;1843.0589743589742;1486.4019230769231
69;2.3;1862.7924080664293;1304.9427639383155;588.2286821705426;1820.9360465116279;1840.8463583200423;1492.4338118022329
70;2.33;1862.3800865800865;1311.5636363636363;575.9211215932913;1819.562893081761;1836.1569365976145;1505.9843063402384
71;2.37;1862.1401755979412;1318.835906751438;562.781018163213;1816.6037349705805;1831.398409255242;1515.103398409255
72;2.4;1861.815249266862;1329.2186379928314;549.50814692074;1813.5238884286107;1817.7280477408353;1521.9335038363172
73;2.43;1864.4326772883473;1339.2636676038737;541.1854134565999;1811.3746789933227;1824.3333333333333;1515.0
74;2.47;1866.4844827586207;1354.8916666666667;528.6981081801225;1806.9866773248066;1808.7777777777778;1535.2777777777778
75;2.5;1866.293023255814;1371.8347286821704;518.2108514638732;1803.2777330110125;1775.110305958132;1562.0668276972624
76;2.53;1868.0033200531207;1387.6039176626825;504.9858585858586;1796.4386724386723;1761.0267774699907;1580.7839335180056
77;2.57;1869.0087277609935;1399.3007720711646;493.59443966752644;1789.4989968472341;1748.7410926365797;1592.319873317498
78;2.6;1869.8143009605124;1412.106367840626;478.8224089635854;1784.4372549019606;1737.9931972789116;1602.920634920635
79;2.63;1869.3161048689137;1425.5205992509361;468.65198006818775;1780.3752950432731;1728.1788778877885;1615.2547854785478
80;2.67;1864.0;1431.0;455.8833746898263;1775.987593052109;1716.6901408450703;1630.774647887324
81;2.7;1866.6781750924783;1443.3707357172214;447.38289368505195;1774.2267519317877;1709.405160390516;1640.0509065550905
82;2.73;1856.9994490358124;1456.526170798898;437.9908485856905;1770.199667221298;1702.0778877887788;1649.1656765676566
83;2.77;1846.703927492447;1469.4662638469285;429.98046676813794;1765.169457128361;1694.3619456366237;1659.005722460658
84;2.8;1837.6784116331096;1485.1381431767336;419.4187283852088;1760.3615323224262;1685.4350775193798;1670.251937984496
85;2.83;1828.7901033170199;1496.3186514410004;410.0398773006135;1756.0490797546013;1680.1022408963584;1675.6519607843136
86;2.87;1838.3333333333333;1486.3333333333333;403.95413260672115;1752.9661671207991;1676.3566308243728;1679.715053763441
87;2.9;1824.4666666666665;1492.2666666666667;393.4941089837997;1749.2464408443789;1680.4888888888888;1670.888888888889
88;2.93;1813.2666666666664;1521.4666666666667;383.61291033267236;1746.6342806785635;1667.0732323232323;1699.3316498316497
89;2.97;1793.7131280388978;1551.871961102107;373.8354894351013;1743.450194049159;1673.0;1689.75
90;3.0;1786.2036067481092;1564.433973240256;364.92391761244215;1739.752416981925;1654.5;1720.2603092783504
91;3.03;1779.892636312535;1575.148960089938;357.27764177886576;1735.7976336189308;1648.5484444444444;1731.3386666666668
92;3.07;1773.3436492585429;1585.7337201805285;349.72028112449794;1729.8124497991967;1650.222222222222;1737.0
93;3.1;1768.5426497277676;1591.934664246824;342.2750237416904;1722.5827160493827;1631.2077464788733;1753.75
