Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1
0;0.0;137.80972367960825;718.3976915005246;366.14141414141415;309.38468013468014
1;0.03;136.6543062200957;730.1475279106858;368.64829396325456;305.3576115485564
2;0.07;136.17254408060452;742.7573467674223;372.6905311778291;294.2802155504234
3;0.1;136.70315091210614;753.7470978441128;374.0;295.0
4;0.13;133.72604166666665;770.021875;393.8500388500388;270.10178710178707
5;0.17;131.36243822075784;781.9187259747391;399.5118577075099;260.42028985507244
6;0.2;131.15141612200435;793.1132897603486;404.1742957746479;250.89730046948355
7;0.23;130.41400560224088;805.1523809523809;409.4514697726012;244.86688851913476
8;0.27;128.65934065934067;816.1587301587301;415.2638004246284;238.90127388535032
9;0.3;128.24755927475593;828.2984658298465;421.79050567595453;231.5046439628483
10;0.33;130.31535003211303;838.2941554271033;429.291095890411;228.20719178082192
11;0.37;131.44774980930586;851.395881006865;440.45012919896635;226.18863049095606
12;0.4;129.63283828382836;865.1303630363035;455.1888185654008;218.88924050632912
13;0.43;127.82747068676716;875.1834170854271;467.5615835777126;211.460899315738
14;0.47;125.53766025641025;884.5488782051282;477.52322404371586;205.9790528233151
15;0.5;124.43721770551038;893.7777777777778;487.5219534050179;200.60394265232972
16;0.53;127.58706467661692;903.2661691542288;496.6272448532632;195.49671484888304
17;0.57;128.889164598842;914.0711331679073;504.6679373146971;190.7975434138077
18;0.6;126.67081260364841;928.8640132669983;512.6554982817869;186.1009450171821
19;0.63;124.16414141414141;940.6809764309763;518.5360946745562;182.84536489151873
20;0.67;123.47821969696969;951.5170454545455;524.012012012012;179.51839339339338
21;0.7;126.3579595426561;963.8962181178539;529.0929899856939;176.51144492131615
22;0.73;126.39793281653746;976.6761412575365;535.9449873326095;172.49077090119437
23;0.77;127.0;976.0;543.442374854482;169.74582848273184
24;0.8;120.79247015610652;1002.9944903581268;553.6952898550725;169.6300724637681
25;0.83;121.7831223628692;1014.2556962025317;569.099164926931;166.36186499652052
26;0.87;123.51128472222221;1025.865451388889;580.9483253588517;162.8979266347687
27;0.9;121.19788664745437;1039.7992315081651;593.3081413210444;160.6242703533026
28;0.93;120.57347670250896;1052.5197132616488;603.6609244903818;158.75796726959518
29;0.97;123.90036900369003;1072.2521525215252;613.094527363184;156.32181199266822
30;1.0;123.08105369807497;1086.8470111448833;622.1930742401594;153.57125062282012
31;1.03;121.67608951707889;1100.0141342756183;630.2999769956291;150.91649413388544
32;1.07;124.5551282051282;1132.901282051282;645.6911231884058;145.44791666666666
33;1.1;123.43165467625899;1145.6762589928057;651.1941391941392;143.6023606023606
34;1.13;125.17250324254215;1155.4163424124513;658.2814768720182;140.63223397635346
35;1.17;129.22222222222223;1170.9375;663.3379518072289;138.79638554216868
36;1.2;128.703007518797;1190.452380952381;671.1084673097535;135.10289389067523
37;1.23;128.2682090831191;1200.08911739503;677.0107052896725;131.99412258606213
38;1.27;129.014301430143;1213.7095709570958;685.8401478401478;123.39547239547238
39;1.3;129.97252090800475;1224.7921146953406;696.5530250747642;111.05935127674258
40;1.33;128.7236971484759;1232.0580137659783;705.2123525329632;101.21929215822345
41;1.37;128.67025089605733;1241.1397849462367;713.5579966926529;92.77699031419796
42;1.4;125.24695459579179;1245.688815060908;725.047619047619;83.36483516483517
43;1.43;120.828418230563;1240.8364611260054;738.4134727061556;76.07990708478512
44;1.47;117.7960687960688;1226.968058968059;769.6003159557661;66.47145113969758
45;1.5;115.90264345583493;1221.6711798839458;786.0698169433801;63.71030225627926
46;1.53;111.24242424242424;1209.519696969697;802.2937403229373;59.558062375580626
47;1.57;109.69033130493575;1200.0534144692358;815.8224379719525;55.236461704422865
48;1.6;107.24953789279112;1186.0764017252002;828.9292091836735;50.91284013605442
49;1.63;105.87226277372262;1174.6794403892943;837.8239633173843;48.08891547049441
50;1.67;106.67522935779816;1165.0256880733946;847.1151515151515;44.79919191919191
51;1.7;107.24393358876117;1154.8071519795656;856.382295338817;41.586173129651385
52;1.73;108.35739561217267;1147.0651096956828;869.1435059037237;36.77225249772933
53;1.77;110.6401028277635;1138.8174807197943;881.15796114055;34.88064597527126
54;1.8;112.0;1135.0;895.4865439093485;34.977101038715766
55;1.83;115.00677966101695;1123.902824858757;900.5;32.0
56;1.87;115.70336391437309;1115.591743119266;923.9290276792051;31.6115448308493
57;1.9;116.3534946236559;1108.4247311827955;933.0806561859193;29.25768967874231
58;1.93;118.63227513227513;1101.1335978835978;943.3346145633141;26.409993593850096
59;1.97;121.47245564892623;1096.3071895424835;951.2773109243698;24.125188536953242
60;2.0;123.825;1087.790909090909;968.6581401545429;20.76312283506528
61;2.03;125.3473491773309;1083.7178549664839;981.9463318562284;23.382570162481535
62;2.07;128.16612903225806;1079.6392473118278;996.74294205052;25.078256562654776
63;2.1;129.4514435695538;1069.6188976377953;1009.9563430919362;24.848741653826398
64;2.13;131.0154569892473;1058.3440860215053;1025.6833964646464;23.166035353535353
65;2.17;133.3526170798898;1051.9845730027548;1033.8286135693215;21.69174041297935
66;2.2;135.9737532808399;1046.0656167979002;1045.1706011960969;20.011016682404783
67;2.23;138.13390722142515;1039.6346245815398;1054.9247214694367;18.76513098464318
68;2.27;140.5759193357058;1027.2989323843417;1065.6272939606272;17.623623623623622
69;2.3;143.05546311702716;1020.7448696616749;1069.1041474654378;17.304761904761904
70;2.33;146.16447779862412;1011.6791744840525;1079.4968619246863;16.77336122733612
71;2.37;148.23752834467118;1006.9109977324263;1088.5;16.0
72;2.4;149.5269607843137;998.1519607843137;1107.505662235352;20.937469226981783
73;2.43;149.62133333333333;994.2112;1122.4726901480346;21.07656967840735
74;2.47;150.20552344251763;987.8150289017341;1134.7004909983634;21.703218767048554
75;2.5;147.06133979015334;983.3954802259886;1140.9448685326547;21.639949109414758
76;2.53;143.54807692307693;985.3974358974359;1145.0;22.0
77;2.57;140.75324675324674;984.6734006734006;1167.238262910798;21.806924882629104
78;2.6;138.17414375301496;984.4433188615532;1177.6076458752516;27.303822937625753
79;2.63;134.17286135693215;983.9433628318584;1177.0;31.0
80;2.67;127.52516619183284;996.8043684710351;1187.2222222222222;32.44444444444444
81;2.7;124.53296193129061;1002.5886722376972;1221.950799507995;37.51599015990159
82;2.73;118.42;1009.4325925925925;1234.5732860520093;39.84101654846336
83;2.77;119.0;1007.0;1244.2626411389297;41.3519882179676
84;2.8;108.1648148148148;1030.7981481481481;1258.5464344941956;44.30431177446103
85;2.83;104.51868131868132;1035.3728937728936;1255.9506172839506;44.212345679012344
86;2.87;101.46524064171123;1043.5050505050503;1257.6666666666665;46.19047619047619
87;2.9;98.03960396039604;1054.2105610561055;1271.6666666666665;56.11764705882353
88;2.93;94.28822629969419;1063.4648318042812;1310.423645320197;63.72167487684729
89;2.97;93.00613026819923;1073.7892720306513;1316.8159303882194;65.18540829986613
90;3.0;88.8525641025641;1082.929487179487;1330.9188596491229;69.19627192982455
91;3.03;86.84395871281116;1088.9265330904675;1335.0811078140455;75.91988130563799
92;3.07;85.49134199134198;1098.724025974026;1361.9734848484848;88.17676767676767
93;3.1;82.9382337927514;1107.549259826442;1375.9368505195841;91.97122302158273
94;3.13;81.27709190672154;1115.0438957475994;1388.6666666666665;96.81360201511335
95;3.17;79.281462585034;1123.000850340136;1398.592796092796;100.07936507936508
96;3.2;78.50320512820512;1130.8689903846155;1411.0297990297988;104.54331254331254
97;3.23;77.0154858691444;1138.8513356562137;1419.6299019607843;107.80943627450979
98;3.27;76.11680911680911;1146.4166666666667;1427.576254346746;114.68703427719821
99;3.3;76.04361016306409;1157.3276450511946;1442.4666666666667;123.05572139303482
100;3.33;75.10712909441233;1172.1606936416185;1462.524236983842;131.12387791741472
101;3.37;73.9242586638085;1181.0332261521971;1478.0193146417444;143.4747663551402
102;3.4;73.16296296296295;1191.3955555555556;1467.5;140.5
103;3.43;74.33165491775763;1200.841557569654;1514.046461372231;159.77795786061589
104;3.47;73.46292517006802;1212.4221088435372;1513.0;159.0
105;3.5;72.77822311289245;1220.7755511022044;1538.532093362509;173.97921225382933
106;3.53;72.50653266331658;1230.243216080402;1557.3798449612402;187.68502651978784
107;3.57;72.52701882210079;1238.3527625986642;1574.0961165048543;195.73592233009708
108;3.6;71.83236994219654;1247.8843930635837;1591.6452162070138;203.95471569628873
109;3.63;72.01300665456745;1254.071990320629;1603.134099616858;208.68405540819333
110;3.67;72.0705574912892;1264.5455865272938;1614.201306076093;214.2260079500284
111;3.7;73.22347266881029;1273.1117363344051;1626.6577777777777;225.53748148148148
112;3.73;73.69012944983818;1285.2580906148867;1612.5555555555554;212.77777777777774
113;3.77;73.6565579984837;1293.713924690422;1659.629938786867;248.41430161380077
114;3.8;74.7146705853539;1301.3864805290227;1673.9121989121988;259.73115773115774
115;3.83;76.70639032815198;1309.0123365408338;1685.3014285714285;271.15166666666664
116;3.87;81.59678878335595;1318.2842605156038;1700.5525846702315;284.87802393684746
117;3.9;87.3232852774137;1329.0598514635212;1714.531704909943;298.89217863311126
118;3.93;92.90894421392345;1341.1429230059935;1724.045977011494;313.87024756852344
119;3.97;96.54903381642511;1352.4579710144928;1733.3448699067253;328.9742268041237
120;4.0;99.18643240605172;1361.8404099560762;1746.3987179487176;342.81974358974355
121;4.03;101.21237497092346;1368.861130495464;1756.8719198483616;356.3235851611156
122;4.07;104.46466916354555;1378.6918851435705;1766.3031013812874;370.2113630440448
123;4.1;106.26652401331431;1384.6088920589632;1773.7425986842106;386.0419407894737
124;4.13;108.58248175182482;1391.8408759124088;1782.90724117295;400.2636146020347
125;4.17;110.54337231968809;1398.3915692007797;1792.072869617585;413.50797952423966
