Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1
0;0.0;1863.5524568393091;489.9758300132802;1747.7676224611707;384.6230585424134
1;0.03;1870.3020117137762;497.3526865291571;1755.7821651859163;403.3896018427114
2;0.07;1876.2460375518165;505.3206534991465;1765.5478547854786;419.57755775577556
3;0.1;1882.4274334080158;514.8366940502863;1773.1004728132389;433.3904649330181
4;0.13;1888.3788692760295;524.2366334100792;1779.8430160692212;447.3988463123197
5;0.17;1892.5021333333332;533.0469333333333;1785.2215346534654;458.769801980198
6;0.2;1896.2398119122256;545.8584117032392;1790.5329838357359;469.9388379204893
7;0.23;1902.206607094503;560.737340915245;1795.3017399267396;480.70833333333326
8;0.27;1908.4506273867976;572.1762138570649;1799.692878338279;490.4277942631058
9;0.3;1913.5047770700637;581.8781847133758;1803.5552099533436;499.6246759979263
10;0.33;1918.16868768526;591.6523848019402;1807.3629160063392;508.7781299524564
11;0.37;1922.540258312723;600.3924154987634;1810.59587955626;516.9461172741679
12;0.4;1926.4471751412427;608.7302259887006;1814.2032115171648;525.8532668881505
13;0.43;1929.8820083682008;616.0669456066946;1817.1624649859941;533.2823529411764
14;0.47;1933.2476354256235;623.2410432788764;1817.6552757793763;542.029376498801
15;0.5;1935.9693094629156;632.2031827223642;1817.6121521862576;552.3770584894945
16;0.53;1939.614710485133;645.1956181533645;1823.8249221183798;568.3806853582554
17;0.57;1944.4594679186227;656.4419405320814;1827.258527827648;585.5487731897067
18;0.6;1948.5593272171252;667.3908256880734;1829.5706385118149;601.447963800905
19;0.63;1952.3010455104547;679.6073185731857;1835.757276995305;617.2699530516431
20;0.67;1958.1372180451128;692.8145363408521;1832.0;608.0
21;0.7;1963.1796536796535;702.7820037105752;1846.2316017316016;648.3233766233766
22;0.73;1967.4814814814815;712.1317901234568;1850.5770004020908;661.0506634499396
23;0.77;1970.5709023941067;719.9211172498465;1854.2933333333333;672.8470588235294
24;0.8;1972.3349056603774;726.7437106918238;1857.8241590214066;683.571483180428
25;0.83;1974.5656753407682;737.7292441140024;1861.0895856662935;693.9119074281448
26;0.87;1979.847545219638;752.2341731266149;1863.8866886688668;702.940594059406
27;0.9;1984.4267795547191;761.552210724365;1866.6730158730159;711.7865961199294
28;0.93;1988.4433811802232;772.1231259968101;1869.043057050592;720.4090419806244
29;0.97;1991.450599287334;782.4156138645934;1871.608131791097;728.881528215913
30;1.0;1993.0567783094098;791.8124401913875;1873.982174688057;737.4146167557932
31;1.03;2000.4166666666665;792.5;1875.9167516139992;744.159700985389
32;1.07;1995.0582930756843;817.8628019323671;1877.8397163120567;751.8574468085106
33;1.1;1998.0742262393862;828.576554368666;1878.903717245582;755.9332723948812
34;1.13;2001.052887364208;839.1066323613493;1880.1380999020569;763.7835455435848
35;1.17;2003.4258957654722;847.4698697068404;1880.5401626016258;775.420487804878
36;1.2;2006.1165165165162;859.9366366366366;1884.8784153005463;791.786543715847
37;1.23;2007.807793575566;866.4686677198525;1889.4404502541756;807.1401597676107
38;1.27;2009.4972095383052;873.6900050735666;1891.9802721088433;820.8802721088435
39;1.3;2011.3343669250644;880.8346253229973;1897.721446473326;838.1675617615467
40;1.33;2013.0719127615675;889.5452402004125;1904.3220892274212;856.7519042437432
41;1.37;2013.6466506538563;893.2129703763011;1906.3803849679193;866.1417659639474
42;1.4;2014.5525767053914;900.546619005064;1913.2288845905866;885.3136686009026
43;1.43;2015.12584407612;910.2464702271332;1919.986750348675;900.065550906555
44;1.47;2016.058661778185;922.102658111824;1918.8095238095236;887.0
45;1.5;2018.8354430379748;933.5243319268635;1928.5068259385666;927.329635949943
46;1.53;2021.0762507534657;946.868896925859;1933.3289224952741;938.9287964713295
47;1.57;2022.0354609929077;960.89036643026;1936.4852320675107;946.5648382559774
48;1.6;2024.0933947772655;975.7898617511521;1928.3333333333333;930.0
49;1.63;2024.261924922382;985.6486028789162;1928.3333333333333;930.0
50;1.67;2023.1778532993483;999.1127159444915;1950.813837920489;978.9556574923547
51;1.7;2023.7358432812975;1015.4505662687479;1953.0793182563093;984.5588331694526
52;1.73;2024.1798665506235;1030.2460110240788;1959.2017543859647;999.9280701754385
53;1.77;2023.6477146042362;1042.1379598662206;1960.342179332529;1006.2396461600321
54;1.8;2023.535102739726;1057.837614155251;1962.0105433901053;1017.1658556366584
55;1.83;2023.616964877402;1073.9893969516236;1966.4898802147873;1028.673275505989
56;1.87;2019.705078125;1087.4462890625;1966.0;1022.0
57;1.9;2017.7328222600793;1097.7086882453152;1973.8772763262073;1054.701504354711
58;1.93;2015.915371329879;1112.3937823834196;1975.5180511742024;1066.0522257273046
59;1.97;2014.238095238095;1126.3362096516457;1978.5940428380186;1079.8908969210174
60;2.0;2011.7717426446814;1140.6446815389588;1980.4466845878135;1098.6290322580646
61;2.03;2010.6048387096773;1148.1735364396654;1980.0803943875615;1107.1865756541524
62;2.07;2008.1375913568475;1158.6615824594853;1981.627502175805;1121.7319408181027
63;2.1;2006.7092469018112;1166.8935494121386;1983.7491830065358;1136.7753267973856
64;2.13;2004.670023497818;1178.3477677072842;1983.3528009535162;1149.927294398093
65;2.17;2005.214172227518;1187.5900857959962;1982.110746812386;1157.7071038251365
66;2.2;2006.0125361620057;1201.088074574092;1980.9207482993197;1166.801700680272
67;2.23;2003.815057794439;1215.2339893783192;1980.5065590312815;1176.8429196098216
68;2.27;2000.8444676409185;1229.794711203897;1978.1918103448277;1188.9030172413793
69;2.3;1998.7740932642487;1241.8051813471502;1976.3601456471365;1193.8467394902348
70;2.33;1997.0763385146804;1253.0559585492229;1974.2345299145297;1199.5415384615385
71;2.37;1995.3495850622407;1261.863416320885;1971.833493128795;1206.5228507510385
72;2.4;1990.7573940847321;1274.986011191047;1963.2559593591245;1221.6400937866354
73;2.43;1986.9244712990937;1280.2007385028533;1957.412605588044;1225.904808317089
74;2.47;1981.2747497219132;1295.5513533555802;1948.310092327284;1237.2340019102196
75;2.5;1978.6100401606425;1309.2726907630522;1939.6258570029383;1250.272935031015
76;2.53;1982.0;1306.0;1929.3037323037322;1260.5521235521235
77;2.57;1978.0;1313.0;1921.0358453288172;1270.225232853514
78;2.6;1968.4110375275936;1347.539072847682;1910.8672813635092;1284.5705504330817
79;2.63;1966.5140224358972;1356.3754006410256;1899.4554204660585;1295.1464032421477
80;2.67;1963.6880891173948;1368.1880891173948;1886.527027027027;1307.2932932932931
81;2.7;1961.8083333333332;1374.5166666666667;1876.9552816050275;1319.391829828378
82;2.73;1967.0;1367.0;1872.0;1320.0
83;2.77;1946.8456790123455;1393.3615520282185;1889.4242424242423;1313.5757575757575
84;2.8;1944.0;1406.5;1845.7605415002217;1354.1675543719484
85;2.83;1943.0;1409.5;1838.6340217632687;1363.5547412835886
86;2.87;1925.299709422997;1433.3370693233705;1830.8143399810065;1373.7029914529915
87;2.9;1918.5894308943089;1449.4015356820235;1824.944055944056;1381.4296814296815
88;2.93;1909.3439716312057;1469.6075650118203;1819.4367612293142;1388.1982860520093
89;2.97;1902.9348659003829;1481.360153256705;1811.6477064220182;1396.5394495412845
90;3.0;1897.0404312668463;1493.8980233602874;1804.4254201680671;1408.266106442577
91;3.03;1891.0915555555553;1506.1568888888887;1807.9583333333333;1401.472222222222
92;3.07;1885.3090717299576;1517.4847046413502;1783.8034188034187;1449.5606837606836
93;3.1;1881.6187050359713;1524.641247002398;1779.2956419316843;1460.4719277581466
94;3.13;1877.6165025785278;1531.7848101265822;1774.14896073903;1472.9368745188606
95;3.17;1873.1355119825705;1540.0967320261439;1767.989247311828;1488.3668320926383
96;3.2;1868.2694252873562;1548.87908045977;1761.7991373998766;1503.601355514479
97;3.23;1865.4141025641027;1553.4858974358974;1758.8612774451096;1510.241017964072
98;3.27;1862.3201530612246;1558.8090986394557;1754.5251572327045;1520.5849056603774
99;3.3;1858.756054601497;1564.6318802289738;1751.2159031068982;1527.6377040547657
100;3.33;1854.9871441689622;1571.6138659320475;1747.3333333333333;1518.3333333333333
101;3.37;1852.5781594011446;1578.4029062087186;1748.0;1524.6666666666665
102;3.4;1843.7992582290215;1589.0899397311077;1743.0;1575.0
103;3.43;1833.402390438247;1599.2315183709604;1741.1158392434986;1590.751182033097
104;3.47;1824.2161263507896;1611.9501246882794;1739.683038637852;1605.0615586116567
105;3.5;1817.0212084833931;1621.1480592236894;1738.574297188755;1612.099254159495
106;3.53;1809.150020056157;1630.9943842759726;1737.0515873015872;1624.7903439153438
107;3.57;1802.2804054054054;1639.8055555555554;1735.8568376068376;1636.4764957264956
108;3.6;1795.3789173789173;1648.6735856735854;1734.6079404466502;1652.7684036393712
109;3.63;1790.7324913892078;1654.7948717948716;1733.5544422177688;1660.0287241148962
110;3.67;1785.0643345396059;1661.8162444712502;1732.007736943907;1670.3133462282399
111;3.7;1781.1266885724715;1666.962395034684;1730.8784648187634;1680.1634683724235
112;3.73;1774.9844599844598;1674.5198135198136;1729.8157575757575;1687.191515151515
113;3.77;1772.0327285663463;1678.4272500889363;1727.875074008289;1692.7122557726466
114;3.8;1766.8724933787362;1684.2296632614452;1724.8284250960307;1696.2509603072983
115;3.83;1764.0714029422318;1687.2992465016146;1721.2113929684022;1713.0983533600354
116;3.87;1759.8299172959366;1693.509528946422;1720.5415695415693;1728.7264957264956
117;3.9;1756.5891946992865;1698.1957186544344;1716.929012345679;1738.474965706447
118;3.93;1770.0;1686.0;1720.592839300583;1741.0557868442966
119;3.97;1745.986301369863;1708.4109589041095;1706.452380952381;1751.75
120;4.0;1733.2205882352941;1718.2941176470588;1692.1;1767.142857142857
121;4.03;1732.5295587010826;1718.88759367194;1696.7194004995838;1766.6344712739385
122;4.07;1722.2980849292258;1735.940049958368;1688.1931723563698;1770.044962531224
123;4.1;1711.1463077984815;1743.3450655624567;1669.7786941580755;1792.0048109965635
124;4.13;1706.1588693957115;1749.9057829759583;1664.4901408450705;1794.5971830985916
125;4.17;1702.6800391389434;1752.715264187867;1657.8479480366104;1798.6023029229407
126;4.2;1710.361365528726;1747.8767693588677;1662.6144879267279;1799.0341382181516
127;4.23;1690.7974683544303;1767.873417721519;1643.8311688311687;1807.2857142857142
128;4.27;1684.125;1771.659090909091;1635.8857142857144;1812.2857142857142
129;4.3;1685.5652173913043;1769.536231884058;1635.1707317073171;1814.0487804878048
130;4.33;1678.6835443037974;1774.8354430379748;1629.105882352941;1817.5529411764705
131;4.37;1670.9692307692308;1781.8;1625.0704225352113;1822.0140845070423
132;4.4;1659.4237288135594;1794.677966101695;1618.138888888889;1827.4722222222222
133;4.43;1659.2857142857142;1794.9571428571428;1614.13698630137;1830.4109589041095
134;4.47;1672.8666666666663;1784.6666666666665;1624.2905695611578;1821.9411764705883
135;4.5;1662.095238095238;1790.4285714285713;1622.0;1823.0
136;4.53;1629.8556286549706;1821.5445906432747;1578.5673905549809;1857.1971733884866
137;4.57;1625.6119850187265;1825.1880149812732;1566.1888454011741;1866.375733855186
138;4.6;1619.5627940644226;1829.23923271806;1577.5897435897434;1854.1538461538462
139;4.63;1613.6392496392496;1833.0753968253966;1545.0285355910944;1885.8447789275635
140;4.67;1607.784791435954;1838.236249538575;1533.3431013431011;1892.4835164835165
141;4.7;1603.2522139567834;1842.083244775062;1521.8986425339367;1896.7013574660634
