Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1;X_Arena0_Ind2;Y_Arena0_Ind2
0;0.0;290.96491228070175;1285.5177387914227;397.7910834629341;1577.0254017625712;618.2639138240575;1783.2447636146019
1;0.03;298.4946605644546;1301.5091533180778;410.99840255591056;1595.2406815761449;629.3640661938534;1790.7216312056737
2;0.07;303.9942528735632;1317.015325670498;425.67147435897436;1611.7409188034187;638.8774422735346;1797.0207223209
3;0.1;311.0058207217695;1333.5091191307722;440.35793172690757;1625.6415662650602;649.875;1803.8597972972973
4;0.13;320.2583621683968;1350.1384083044982;453.3568281938326;1640.446402349486;662.8490770901194;1807.0874049945708
5;0.17;327.55543028936484;1367.6016535137164;466.58737151248164;1655.6911404796865;684.4709531866891;1814.9086294416243
6;0.2;334.31619047619046;1385.0811428571428;480.05674846625766;1668.712678936605;706.0163564579808;1823.7557811618722
7;0.23;343.3725490196078;1401.5464298927118;491.15888731730314;1678.932578972183;726.4701378254211;1828.6773864216436
8;0.27;352.3817762399077;1416.5690119184928;502.0696445725264;1688.6628242074928;747.3470790378007;1834.9369988545245
9;0.3;360.1352380952381;1431.6194285714287;515.5508162190627;1699.0710900473935;765.3114942528734;1841.0879310344828
10;0.33;367.29211256440743;1446.304795877923;529.6855345911949;1705.8940493468795;781.9620826259196;1846.0639501980756
11;0.37;377.63231850117097;1459.0460577673691;546.7635933806147;1717.5721040189123;795.8688;1849.5541333333333
12;0.4;391.012585812357;1471.5186880244087;564.661616161616;1731.0924242424242;809.6530278232406;1853.0692853246044
13;0.43;403.471198156682;1484.7884024577572;580.9933899905571;1739.9759206798867;822.4978494623655;1856.1564516129033
14;0.47;415.142089093702;1497.541474654378;597.5012419274714;1751.1599602583208;834.3895966029723;1858.8391719745223
15;0.5;428.2130062305296;1508.746105919003;615.9173126614986;1763.7875968992248;845.6321467098165;1860.7292340884571
16;0.53;441.56410256410254;1519.764423076923;634.321357285429;1771.9835329341317;860.5963203463202;1861.0043290043288
17;0.57;453.25485436893206;1532.0877831715209;653.1506172839505;1783.1387654320986;879.5158597662771;1865.204229271007
18;0.6;466.9261576971214;1545.827701293283;672.3441494591937;1794.8908554572272;901.7585034013606;1868.2046485260769
19;0.63;480.6777070063694;1556.3490445859873;690.2678311499272;1802.287724405628;924.1907931225734;1867.983915696062
20;0.67;495.1815476190476;1568.2844387755101;707.7396733909702;1810.3578290105665;946.2597547380154;1870.0579710144925
