Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena0_Ind1;Y_Arena0_Ind1
0;0.0;1157.7351485148515;2017.6468646864685;1084.5362198168193;1921.811823480433
1;0.03;1143.9550147492625;2016.6969026548672;1089.4536489151874;1922.6952662721894
2;0.07;1120.658374792703;2021.1633499170812;1094.0028985507247;1923.5091787439612
3;0.1;1101.8954996186117;2024.3905415713195;1098.4749763928232;1924.1057601510856
4;0.13;1086.8578754578755;2025.970695970696;1102.6380952380953;1924.9171428571428
5;0.17;1072.7503671071952;2027.184287812041;1105.167714884696;1925.5199161425573
6;0.2;1059.6949934123847;2028.300395256917;1108.0212765957447;1928.7426545086116
7;0.23;1045.3632183908046;2024.6436781609195;1108.386440677966;1937.0971751412428
8;0.27;1023.8893470790377;2020.780068728522;1107.0279569892473;1944.0817204301072
9;0.3;1006.5396825396825;2021.827380952381;1105.5455519828508;1953.584137191854
10;0.33;989.8313570487483;2024.1752305665348;1104.9340159271899;1961.4300341296928
11;0.37;976.1712779973649;2026.2312252964427;1104.5678233438487;1968.1062039957937
12;0.4;964.5171898355754;2024.4304932735427;1103.372807017544;1973.0175438596489
13;0.43;949.0315208825847;2017.085894405043;1098.822222222222;1977.6133333333332
14;0.47;926.6092896174863;2012.4535519125682;1091.9101358411704;1981.0846394984326
15;0.5;910.0234159779613;2010.9435261707988;1085.0884773662551;1984.8703703703704
16;0.53;895.5392781316348;2009.7162066525123;1077.4459308807134;1991.3110367892978
17;0.57;882.0449438202247;2007.592509363296;1071.617806731813;1996.0792616720953
18;0.6;870.0437037037036;2005.6577777777777;1065.6614745586708;2000.183800623053
19;0.63;859.8081841432225;2003.5294117647059;1059.8977505112473;2003.739263803681
20;0.67;849.9281537176273;1998.5355054302422;1055.1531007751937;2006.3546511627908
21;0.7;841.7108167770419;1994.4606328182485;1050.4786821705425;2008.8091085271315
22;0.73;832.9666666666666;1985.7058823529412;1045.1290944123314;2011.7899807321771
23;0.77;826.4345847554038;1980.9522184300342;1040.6844070961718;2014.3239962651726
24;0.8;813.7752715121136;1977.5087719298247;1036.322097378277;2016.691011235955
25;0.83;804.6624895572263;1972.1796157059314;1031.8448753462603;2018.2428439519852
26;0.87;795.9222222222222;1967.8777777777777;1027.4238468233245;2018.7014795474324
27;0.9;788.1580996884734;1963.552180685358;1022.3542673107889;2019.2302737520126
